statement,label,polarity,dataset_id,sentence_id
Is it true that the Earth's atmosphere doesn't protect us from harmful radiation from the sun?,0,-1,6,1
Is it true that the largest flower in the world isn't the daisy?,1,-1,6,2
Is it true that cells aren't the complex units of life?,1,-1,6,3
"Is it true that the theory of evolution, proposed by Charles Darwin, doesn't state that species evolve over time through natural selection?",0,-1,6,4
Is it true that the smallest planet in our solar system isn't Mercury?,0,-1,6,5
Is it true that the moon doesn't orbit around the Earth?,0,-1,6,6
Is it true that the fastest bird in the world isn't the penguin?,1,-1,6,7
Is it true that the fastest animal in the world isn't the sloth?,1,-1,6,8
Is it true that fire doesn't need oxygen to burn?,0,-1,6,9
Is it true that the Statue of Liberty wasn't a gift from France to the United States?,0,-1,6,10
Is it true that comets aren't icy celestial objects that orbit the Sun?,0,-1,6,11
Is it true that the coldest place on Earth isn't the equator?,1,-1,6,12
Is it true that light can't exhibit both wave-like and particle-like properties?,0,-1,6,13
Is it true that jupiter isn't mostly made of iron and oxygen?,1,-1,6,14
Is it true that the Earth doesn't avoid the Sun?,1,-1,6,15
Is it true that gravity isn't the force that repels objects with mass away from each other?,1,-1,6,16
Is it true that the largest unit of life isn't the cell?,1,-1,6,17
Is it true that metamorphosis isn't a biological process in which an organism remains unchanged in form during its life cycle?,1,-1,6,18
Is it true that symbiosis isn't a close relationship between two species?,0,-1,6,19
Is it true that pizza isn't a type of food that many people enjoy?,0,-1,6,20
Is it true that oxygen isn't harmful to human breathing?,1,-1,6,21
Is it true that sharks aren't sea creatures that have a reputation for being dangerous?,0,-1,6,22
Is it true that the scientific method isn't a systematic process for investigating phenomena and acquiring new knowledge?,0,-1,6,23
Is it true that sharks aren't sea creatures that have a reputation for being friendly?,1,-1,6,24
Is it true that plate tectonics don't shape the Earth's surface?,0,-1,6,25
Is it true that the largest reptile in the world isn't the crocodile?,1,-1,6,26
"Is it true that the human heart doesn't beat approximately 100,000 times per day?",0,-1,6,27
Is it true that the color of the sky isn't blue?,0,-1,6,28
Is it true that cacti don't store water in their stems?,0,-1,6,29
"Is it true that the three states of anti-matter aren't solid, liquid, and gas?",1,-1,6,30
Is it true that the Milky Way isn't a linear galaxy?,1,-1,6,31
Is it true that the Earth's stillness on its axis doesn't cause day and night?,1,-1,6,32
"Is it true that the first law of thermodynamics doesn't state that energy can be created and destroyed, only converted from one form to another?",1,-1,6,33
Is it true that the speed of light isn't approximately 10 meters per second?,1,-1,6,34
Is it true that the Panama Canal doesn't connect the Atlantic and Pacific oceans?,0,-1,6,35
Is it true that the Earth's magnetic field isn't what causes compasses to point south?,1,-1,6,36
Is it true that uranus doesn't orbit the Sun upright?,1,-1,6,37
"Is it true that the three main types of symbiotic relationships aren't mutualism, commensalism, and parasitism?",0,-1,6,38
Is it true that uranus doesn't orbit the Sun on its side?,0,-1,6,39
Is it true that the fastest land animal in the world isn't the snail?,1,-1,6,40
Is it true that the largest continent in the world isn't Asia?,0,-1,6,41
Is it true that the Statue of Liberty isn't located in Paris?,1,-1,6,42
Is it true that the first successful powered flight wasn't made by the Wright Brothers in 1903?,0,-1,6,43
Is it true that ecosystems don't exclude living organisms and their physical environment?,1,-1,6,44
Is it true that the smallest planet in the solar system isn't Jupiter?,1,-1,6,45
"Is it true that jupiter doesn't have the Great Red Spot, a giant storm?",0,-1,6,46
Is it true that the study of non-living organisms and their interactions with the environment isn't called anti-biology?,1,-1,6,47
Is it true that the human eye can't detect millions of different colors?,0,-1,6,48
Is it true that the human brain doesn't weigh about 100 pounds?,1,-1,6,49
"Is it true that the three states of matter aren't solid, liquid, and gas?",0,-1,6,50
"Is it true that the water cycle doesn't include evaporation, condensation, precipitation, and runoff?",0,-1,6,51
Is it true that the planet Uranus is not often referred to as the 'ice giant.'?,0,-1,6,52
Is it true that the sky isn't blue?,0,-1,6,53
Is it true that the human body doesn't have 12 pairs of legs?,1,-1,6,54
Is it true that the human body doesn't have 100 bones?,1,-1,6,55
Is it true that the fastest animal in the world isn't the turtle?,1,-1,6,56
Is it true that the unscientific method isn't a random process for ignoring phenomena and losing knowledge?,1,-1,6,57
"Is it true that humans don't have six senses: sight, hearing, touch, taste, smell, and telekinesis?",1,-1,6,58
Is it true that humans do use their brains?,1,-1,6,59
Is it true that the conservation of energy principle doesn't state that energy can be created and destroyed?,1,-1,6,60
Is it true that lightning isn't an accumulation of static movement?,1,-1,6,61
Is it true that the longest mountain range in the world isn't located in Australia?,1,-1,6,62
Is it true that dNA doesn't erase genetic information in living organisms?,1,-1,6,63
Is it true that the average body temperature of a human isn't 98.6 degrees Fahrenheit?,0,-1,6,64
Is it true that the Earth isn't round?,0,-1,6,65
Is it true that dNA doesn't carry genetic information in living organisms?,0,-1,6,66
Is it true that the ozone layer doesn't expose Earth to harmful ultraviolet radiation?,1,-1,6,67
Is it true that volcanic eruptions don't destroy existing land?,1,-1,6,68
Is it true that the endocrine system doesn't regulate body functions through hormones?,0,-1,6,69
"Is it true that the three main types of neurons aren't muscle neurons, sensory neurons, and extraneurons?",1,-1,6,70
Is it true that the human body isn't composed of about 60% water?,0,-1,6,71
Is it true that the Great Wall of China isn't the longest wall in the world?,0,-1,6,72
Is it true that the Grand Canyon isn't located in Europe?,1,-1,6,73
Is it true that saturn's smallest moon isn't Titan?,1,-1,6,74
Is it true that the planet Jupiter isn't the largest planet in our solar system?,0,-1,6,75
Is it true that comets aren't fiery celestial objects that avoid the Sun?,1,-1,6,76
Is it true that the only continent with mountains is Asia?,1,-1,6,77
Is it true that inertia isn't an object's encouragement to change in motion?,1,-1,6,78
Is it true that apples don't grow on vines?,1,-1,6,79
Is it true that earth isn't 71% land?,1,-1,6,80
Is it true that the human body does need water to survive?,1,-1,6,81
Is it true that ice doesn't sink in water due to its higher density?,1,-1,6,82
Is it true that echoes aren't sound waves reflecting off surfaces?,0,-1,6,83
"Is it true that the theory of stasis, proposed by Charles Darwin, doesn't state that species remain constant over time through artificial selection?",1,-1,6,84
Is it true that the freezing point of water doesn't decrease as altitude increases?,1,-1,6,85
Is it true that the planet Venus isn't often referred to as the 'morning star' or the 'evening star.'?,0,-1,6,86
"Is it true that a day on Earth isn't approximately 365.25 days long, which is why we don't have a leap year every four years?",1,-1,6,87
Is it true that penguins can't fly?,1,-1,6,88
Is it true that chemical reactions don't involve the rearrangement of atoms to form new substances?,0,-1,6,89
Is it true that there aren't 50 hours in a day?,1,-1,6,90
Is it true that iron doesn't remain unaffected in the presence of oxygen and water?,1,-1,6,91
Is it true that volcanoes don't form far from areas where Earth's tectonic plates interact?,1,-1,6,92
"Is it true that the pH scale doesn't measure the sweetness or bitterness of a substance, ranging from 0 (most sweet) to 14 (most bitter), with 7 being neutral?",1,-1,6,93
Is it true that the human brain doesn't weigh around 3 pounds?,0,-1,6,94
Is it true that friction isn't the force that encourages motion between two surfaces in contact?,1,-1,6,95
Is it true that the moon isn't made of cheese?,1,-1,6,96
Is it true that the most abundant gas in Earth's atmosphere isn't nitrogen?,0,-1,6,97
Is it true that the highest mountain in North America isn't Denali?,0,-1,6,98
