statement,label,polarity,dataset_id,sentence_id
Is it true that thallium has the symbol Tl?,1,1,13,1
Is it true that barium has the symbol Sb?,0,1,13,2
Is it true that tantalum has the symbol Ta?,1,1,13,3
Is it true that beryllium has the symbol Be?,1,1,13,4
Is it true that yttrium has the symbol U?,0,1,13,5
Is it true that krypton has the symbol Kr?,1,1,13,6
Is it true that molybdenum has the symbol Np?,0,1,13,7
Is it true that strontium has the symbol Sn?,0,1,13,8
Is it true that rubidium has the symbol Rb?,1,1,13,9
Is it true that titanium has the symbol Ti?,1,1,13,10
Is it true that strontium has the symbol Sr?,1,1,13,11
Is it true that mercury has the symbol Cl?,0,1,13,12
Is it true that xenon has the symbol Xe?,1,1,13,13
Is it true that uranium has the symbol Re?,0,1,13,14
Is it true that indium has the symbol As?,0,1,13,15
Is it true that gallium has the symbol Ga?,1,1,13,16
Is it true that europium has the symbol Eu?,1,1,13,17
Is it true that chlorine has the symbol Cl?,1,1,13,18
Is it true that palladium has the symbol Nd?,0,1,13,19
Is it true that rubidium has the symbol Kr?,0,1,13,20
Is it true that zinc has the symbol Fr?,0,1,13,21
Is it true that sodium has the symbol Lu?,0,1,13,22
Is it true that francium has the symbol Fr?,1,1,13,23
Is it true that selenium has the symbol Se?,1,1,13,24
Is it true that silver has the symbol Ag?,1,1,13,25
Is it true that potassium has the symbol Al?,0,1,13,26
Is it true that neon has the symbol Ne?,1,1,13,27
Is it true that palladium has the symbol Pd?,1,1,13,28
Is it true that sulfur has the symbol S?,1,1,13,29
Is it true that antimony has the symbol Al?,0,1,13,30
Is it true that polonium has the symbol Tb?,0,1,13,31
Is it true that hafnium has the symbol Hf?,1,1,13,32
Is it true that gold has the symbol Cr?,0,1,13,33
Is it true that chlorine has the symbol Cr?,0,1,13,34
Is it true that iridium has the symbol Ir?,1,1,13,35
Is it true that francium has the symbol Tl?,0,1,13,36
Is it true that actinium has the symbol Ac?,1,1,13,37
Is it true that gold has the symbol Au?,1,1,13,38
Is it true that beryllium has the symbol As?,0,1,13,39
Is it true that rhenium has the symbol Tm?,0,1,13,40
Is it true that erbium has the symbol Pr?,0,1,13,41
Is it true that cadmium has the symbol Cd?,1,1,13,42
Is it true that actinium has the symbol Ar?,0,1,13,43
Is it true that osmium has the symbol Os?,1,1,13,44
Is it true that neptunium has the symbol Np?,1,1,13,45
Is it true that cerium has the symbol Ne?,0,1,13,46
Is it true that potassium has the symbol K?,1,1,13,47
Is it true that bromine has the symbol Br?,1,1,13,48
Is it true that arsenic has the symbol Re?,0,1,13,49
Is it true that thorium has the symbol Se?,0,1,13,50
Is it true that calcium has the symbol Ca?,1,1,13,51
Is it true that zirconium has the symbol Zr?,1,1,13,52
Is it true that dysprosium has the symbol U?,0,1,13,53
Is it true that boron has the symbol B?,1,1,13,54
Is it true that silver has the symbol Sb?,0,1,13,55
Is it true that phosphorus has the symbol P?,1,1,13,56
Is it true that xenon has the symbol F?,0,1,13,57
Is it true that lutetium has the symbol Lu?,1,1,13,58
Is it true that phosphorus has the symbol Zn?,0,1,13,59
Is it true that fluorine has the symbol N?,0,1,13,60
Is it true that magnesium has the symbol Mg?,1,1,13,61
Is it true that neon has the symbol Lu?,0,1,13,62
Is it true that ruthenium has the symbol Au?,0,1,13,63
Is it true that thulium has the symbol Tm?,1,1,13,64
Is it true that holmium has the symbol Ho?,1,1,13,65
Is it true that bromine has the symbol Mo?,0,1,13,66
Is it true that bismuth has the symbol Bi?,1,1,13,67
Is it true that promethium has the symbol Pm?,1,1,13,68
Is it true that rhodium has the symbol Rh?,1,1,13,69
Is it true that niobium has the symbol Nb?,1,1,13,70
Is it true that selenium has the symbol Na?,0,1,13,71
Is it true that aluminum has the symbol Sc?,0,1,13,72
Is it true that ytterbium has the symbol Mo?,0,1,13,73
Is it true that lithium has the symbol Sb?,0,1,13,74
Is it true that iron has the symbol Tl?,0,1,13,75
Is it true that cadmium has the symbol Ir?,0,1,13,76
Is it true that mercury has the symbol Hg?,1,1,13,77
Is it true that oxygen has the symbol O?,1,1,13,78
Is it true that indium has the symbol In?,1,1,13,79
Is it true that carbon has the symbol C?,1,1,13,80
Is it true that lithium has the symbol Li?,1,1,13,81
Is it true that tungsten has the symbol Zr?,0,1,13,82
Is it true that protactinium has the symbol Pa?,1,1,13,83
Is it true that gallium has the symbol Cs?,0,1,13,84
Is it true that manganese has the symbol Gd?,0,1,13,85
Is it true that calcium has the symbol P?,0,1,13,86
Is it true that chromium has the symbol Ru?,0,1,13,87
Is it true that cobalt has the symbol Co?,1,1,13,88
Is it true that cesium has the symbol Cs?,1,1,13,89
Is it true that tungsten has the symbol W?,1,1,13,90
Is it true that sodium has the symbol Na?,1,1,13,91
Is it true that ytterbium has the symbol Yb?,1,1,13,92
Is it true that rhenium has the symbol Re?,1,1,13,93
Is it true that argon has the symbol Co?,0,1,13,94
Is it true that zinc has the symbol Zn?,1,1,13,95
Is it true that uranium has the symbol U?,1,1,13,96
Is it true that ruthenium has the symbol Ru?,1,1,13,97
Is it true that magnesium has the symbol Br?,0,1,13,98
Is it true that iodine has the symbol I?,1,1,13,99
Is it true that zirconium has the symbol Eu?,0,1,13,100
Is it true that rhodium has the symbol Sn?,0,1,13,101
Is it true that bismuth has the symbol La?,0,1,13,102
Is it true that nitrogen has the symbol La?,0,1,13,103
Is it true that oxygen has the symbol Ne?,0,1,13,104
Is it true that lutetium has the symbol Be?,0,1,13,105
Is it true that praseodymium has the symbol Sc?,0,1,13,106
Is it true that germanium has the symbol Ge?,1,1,13,107
Is it true that terbium has the symbol Tb?,1,1,13,108
Is it true that argon has the symbol Ar?,1,1,13,109
Is it true that scandium has the symbol Rn?,0,1,13,110
Is it true that erbium has the symbol Er?,1,1,13,111
Is it true that chromium has the symbol Cr?,1,1,13,112
Is it true that astatine has the symbol At?,1,1,13,113
Is it true that nickel has the symbol Ni?,1,1,13,114
Is it true that praseodymium has the symbol Pr?,1,1,13,115
Is it true that yttrium has the symbol Y?,1,1,13,116
Is it true that tellurium has the symbol Te?,1,1,13,117
Is it true that niobium has the symbol Rh?,0,1,13,118
Is it true that neodymium has the symbol Ac?,0,1,13,119
Is it true that fluorine has the symbol F?,1,1,13,120
Is it true that vanadium has the symbol V?,1,1,13,121
Is it true that thallium has the symbol Sr?,0,1,13,122
Is it true that samarium has the symbol Pr?,0,1,13,123
Is it true that hydrogen has the symbol Pt?,0,1,13,124
Is it true that neptunium has the symbol Na?,0,1,13,125
Is it true that platinum has the symbol La?,0,1,13,126
Is it true that tin has the symbol Be?,0,1,13,127
Is it true that thorium has the symbol Th?,1,1,13,128
Is it true that samarium has the symbol Sm?,1,1,13,129
Is it true that hydrogen has the symbol H?,1,1,13,130
Is it true that silicon has the symbol Si?,1,1,13,131
Is it true that barium has the symbol Ba?,1,1,13,132
Is it true that lanthanum has the symbol La?,1,1,13,133
Is it true that cerium has the symbol Ce?,1,1,13,134
Is it true that silicon has the symbol Rn?,0,1,13,135
Is it true that lanthanum has the symbol Po?,0,1,13,136
Is it true that molybdenum has the symbol Mo?,1,1,13,137
Is it true that gadolinium has the symbol Hg?,0,1,13,138
Is it true that hafnium has the symbol Nd?,0,1,13,139
Is it true that arsenic has the symbol As?,1,1,13,140
Is it true that aluminum has the symbol Al?,1,1,13,141
Is it true that copper has the symbol Cu?,1,1,13,142
Is it true that promethium has the symbol Dy?,0,1,13,143
Is it true that holmium has the symbol Tb?,0,1,13,144
Is it true that iron has the symbol Fe?,1,1,13,145
Is it true that technetium has the symbol Tc?,1,1,13,146
Is it true that technetium has the symbol Ag?,0,1,13,147
Is it true that cobalt has the symbol Lu?,0,1,13,148
Is it true that helium has the symbol Xe?,0,1,13,149
Is it true that nickel has the symbol Rb?,0,1,13,150
Is it true that krypton has the symbol Nb?,0,1,13,151
Is it true that boron has the symbol Pm?,0,1,13,152
Is it true that copper has the symbol Ta?,0,1,13,153
Is it true that titanium has the symbol B?,0,1,13,154
Is it true that thulium has the symbol Ne?,0,1,13,155
Is it true that osmium has the symbol Rn?,0,1,13,156
Is it true that neodymium has the symbol Nd?,1,1,13,157
Is it true that iridium has the symbol Fe?,0,1,13,158
Is it true that cesium has the symbol Tc?,0,1,13,159
Is it true that dysprosium has the symbol Dy?,1,1,13,160
Is it true that europium has the symbol Ga?,0,1,13,161
Is it true that gadolinium has the symbol Gd?,1,1,13,162
Is it true that helium has the symbol He?,1,1,13,163
Is it true that radon has the symbol Rn?,1,1,13,164
Is it true that carbon has the symbol In?,0,1,13,165
Is it true that germanium has the symbol Br?,0,1,13,166
Is it true that tellurium has the symbol O?,0,1,13,167
Is it true that lead has the symbol Na?,0,1,13,168
Is it true that polonium has the symbol Po?,1,1,13,169
Is it true that platinum has the symbol Pt?,1,1,13,170
Is it true that sulfur has the symbol Cs?,0,1,13,171
Is it true that radium has the symbol Sm?,0,1,13,172
Is it true that antimony has the symbol Sb?,1,1,13,173
Is it true that protactinium has the symbol Ir?,0,1,13,174
Is it true that astatine has the symbol Mg?,0,1,13,175
Is it true that tin has the symbol Sn?,1,1,13,176
Is it true that iodine has the symbol Nb?,0,1,13,177
Is it true that terbium has the symbol Ta?,0,1,13,178
Is it true that tantalum has the symbol Cs?,0,1,13,179
Is it true that manganese has the symbol Mn?,1,1,13,180
Is it true that radon has the symbol H?,0,1,13,181
Is it true that lead has the symbol Pb?,1,1,13,182
Is it true that vanadium has the symbol Ba?,0,1,13,183
Is it true that radium has the symbol Ra?,1,1,13,184
Is it true that nitrogen has the symbol N?,1,1,13,185
Is it true that scandium has the symbol Sc?,1,1,13,186
