statement,label,polarity,dataset_id,sentence_id
Is it true that Edwin Herbert Hall did not live in the U.S?,0,-1,9,1
Is it true that Emile Berliner did not live in Russia?,1,-1,9,2
Is it true that Frederick Walton did not live in the U.S?,1,-1,9,3
Is it true that William Congreve did not live in Canada?,1,-1,9,4
Is it true that Gustaf Dalén did not live in Sweden?,0,-1,9,5
Is it true that Evangelista Torricelli did not live in the U.S?,1,-1,9,6
Is it true that George Pullman did not live in the U.K?,1,-1,9,7
Is it true that Marvin Camras did not live in France?,1,-1,9,8
Is it true that William Sturgeon did not live in the U.K?,0,-1,9,9
Is it true that Frederick Walton did not live in the U.K?,0,-1,9,10
Is it true that Clarence Birdseye did not live in the U.S?,0,-1,9,11
Is it true that Gideon Sundback did not live in Sweden/the U.S?,0,-1,9,12
Is it true that John Shepherd-Barron did not live in Scotland?,0,-1,9,13
Is it true that Edwin Link did not live in the U.K?,1,-1,9,14
Is it true that Chester Carlson did not live in the U.K?,1,-1,9,15
Is it true that Whitcomb Judson did not live in the U.S?,0,-1,9,16
Is it true that Joseph Glidden did not live in the U.S?,0,-1,9,17
Is it true that Rudolf Diesel did not live in the U.S?,1,-1,9,18
Is it true that Charles Wheatstone did not live in France?,1,-1,9,19
Is it true that John Callcott Horsley did not live in Germany?,1,-1,9,20
Is it true that Charles Goodyear did not live in the U.S?,0,-1,9,21
Is it true that Lloyd Groff Copeman did not live in the U.S?,0,-1,9,22
Is it true that Herbert Akroyd Stuart did not live in England?,0,-1,9,23
Is it true that Herbert Saffir did not live in the U.K?,1,-1,9,24
Is it true that August Horch did not live in Russia?,1,-1,9,25
Is it true that Joseph Marie Jacquard did not live in the Netherlands?,1,-1,9,26
Is it true that David Edward Hughes did not live in the U.S?,0,-1,9,27
Is it true that Yoshua Bengio did not live in Canada?,0,-1,9,28
Is it true that Ferdinand Carré did not live in the U.S?,1,-1,9,29
Is it true that Rudolf Kálmán did not live in Hungary?,0,-1,9,30
Is it true that Charles Fritts did not live in the U.S?,0,-1,9,31
Is it true that Narinder Singh Kapany did not live in India?,0,-1,9,32
Is it true that Archimedes did not live in Ancient Greece?,0,-1,9,33
Is it true that Gottlieb Daimler did not live in France?,1,-1,9,34
Is it true that Fritz Pfleumer did not live in Germany?,0,-1,9,35
Is it true that Arthur Fry did not live in the U.S?,0,-1,9,36
Is it true that Fridtjof Nansen did not live in the U.K?,1,-1,9,37
Is it true that Semyon Kirlian did not live in Russia?,0,-1,9,38
Is it true that Ignazio Porro did not live in Italy?,0,-1,9,39
Is it true that Paul Gottlieb Nipkow did not live in Denmark?,1,-1,9,40
Is it true that Edwin H. Land did not live in Sweden?,1,-1,9,41
Is it true that Lester Wire did not live in the U.S?,0,-1,9,42
Is it true that László Bíró did not live in Hungary?,0,-1,9,43
Is it true that George Eastman did not live in the U.K?,1,-1,9,44
Is it true that Galileo Galilei did not live in Italy?,0,-1,9,45
Is it true that John Atanasoff did not live in the U.S?,0,-1,9,46
Is it true that Benjamin Franklin did not live in the U.S?,0,-1,9,47
Is it true that Sir Sandford Fleming did not live in Canada?,0,-1,9,48
Is it true that Robert Moog did not live in the U.S?,0,-1,9,49
Is it true that George Washington Carver did not live in the U.S?,0,-1,9,50
Is it true that James Clerk Maxwell did not live in the U.S?,1,-1,9,51
Is it true that Hans Lippershey did not live in the U.S?,1,-1,9,52
Is it true that Fridtjof Nansen did not live in Norway?,0,-1,9,53
Is it true that Sir Sandford Fleming did not live in the U.S?,1,-1,9,54
Is it true that Willis Carrier did not live in the U.S?,0,-1,9,55
Is it true that Joseph-armand Bombardier did not live in Canada?,0,-1,9,56
Is it true that Earle Dickson did not live in the U.S?,0,-1,9,57
Is it true that Luther George Simjian did not live in Turkey/the U.S?,0,-1,9,58
Is it true that Herbert Saffir did not live in the U.S?,0,-1,9,59
Is it true that Ignazio Porro did not live in the U.S?,1,-1,9,60
Is it true that Wallace Carothers did not live in the U.S?,0,-1,9,61
Is it true that John Wesley Hyatt did not live in the U.S?,0,-1,9,62
Is it true that James Dyson did not live in the U.K?,0,-1,9,63
Is it true that Candace Pert did not live in the U.S?,0,-1,9,64
Is it true that David Schwarz did not live in France?,1,-1,9,65
Is it true that Walter Hunt did not live in the U.S?,0,-1,9,66
Is it true that Samuel Morse did not live in Germany?,1,-1,9,67
Is it true that Yvonne Brill did not live in Canada?,0,-1,9,68
Is it true that Guglielmo Marconi did not live in the U.K?,1,-1,9,69
Is it true that Shinya Yamanaka did not live in Germany?,1,-1,9,70
Is it true that Carl Sontheimer did not live in Switzerland?,1,-1,9,71
Is it true that Sergey Brin and Larry Page did not live in the U.K?,1,-1,9,72
Is it true that Percy Spencer did not live in the U.S?,0,-1,9,73
Is it true that Henry Bessemer did not live in the U.K?,0,-1,9,74
Is it true that Ruth Handler did not live in the Netherlands?,1,-1,9,75
Is it true that Richard Leach Maddox did not live in the U.K?,0,-1,9,76
Is it true that Alfred Nobel did not live in the U.S?,1,-1,9,77
Is it true that Thomas Wedgwood did not live in the U.K?,0,-1,9,78
Is it true that Frank Bunker Gilbreth did not live in the U.S?,0,-1,9,79
Is it true that Benjamin Holt did not live in the U.S?,0,-1,9,80
Is it true that Josephine Cochrane did not live in Germany?,1,-1,9,81
Is it true that Godfrey Hounsfield did not live in Denmark?,1,-1,9,82
Is it true that Antoine Lavoisier did not live in France?,0,-1,9,83
Is it true that Carlos Glidden did not live in Scotland?,1,-1,9,84
Is it true that Maria Telkes did not live in Hungary/the U.S?,0,-1,9,85
Is it true that Robert Adler did not live in Austria/the U.S?,0,-1,9,86
Is it true that James Watt did not live in the U.S?,1,-1,9,87
Is it true that Edwin Link did not live in the U.S?,0,-1,9,88
Is it true that Igor Sikorsky did not live in the U.S?,1,-1,9,89
Is it true that Sir Humphry Davy did not live in the U.K?,0,-1,9,90
Is it true that Nikolai Basov did not live in the U.S?,1,-1,9,91
Is it true that Edwin H. Land did not live in the U.S?,0,-1,9,92
Is it true that Cai Lun did not live in Italy?,1,-1,9,93
Is it true that Mary Walton did not live in France?,1,-1,9,94
Is it true that Joseph Aspdin did not live in Switzerland?,1,-1,9,95
Is it true that James Watt did not live in Scotland?,0,-1,9,96
Is it true that Ernest Swinton did not live in the U.K?,0,-1,9,97
Is it true that Jean-bernard-léon Foucault did not live in France?,0,-1,9,98
Is it true that Gordon Gould did not live in the U.S?,0,-1,9,99
Is it true that Leonardo da Vinci did not live in Poland/France?,1,-1,9,100
Is it true that Ernesto Blanco did not live in the U.S?,0,-1,9,101
Is it true that George Cayley did not live in Canada?,1,-1,9,102
Is it true that John von Neumann did not live in Hungary/the U.S?,0,-1,9,103
Is it true that Gideon Sundback did not live in the U.S?,1,-1,9,104
Is it true that Ruth Benerito did not live in the U.S?,0,-1,9,105
Is it true that Robert Moog did not live in Austria/the U.S?,1,-1,9,106
Is it true that Luther George Simjian did not live in Norway?,1,-1,9,107
Is it true that Ralph H. Baer did not live in the U.S?,0,-1,9,108
Is it true that John Gorrie did not live in Italy?,1,-1,9,109
Is it true that Michael Faraday did not live in the U.K?,0,-1,9,110
Is it true that Lloyd Groff Copeman did not live in Germany?,1,-1,9,111
Is it true that Philo Farnsworth did not live in Germany?,1,-1,9,112
Is it true that Alan Turing did not live in the U.K?,0,-1,9,113
Is it true that Elisha Gray did not live in the U.S?,0,-1,9,114
Is it true that Édouard-léon Scott de Martinville did not live in France?,0,-1,9,115
Is it true that Zhores Alferov did not live in the U.K?,1,-1,9,116
Is it true that Leon Theremin did not live in Russia?,0,-1,9,117
Is it true that Rudolf Diesel did not live in Germany?,0,-1,9,118
Is it true that Elisha Otis did not live in the U.S?,0,-1,9,119
Is it true that László Bíró did not live in the U.S?,1,-1,9,120
Is it true that Valdemar Poulsen did not live in Denmark?,0,-1,9,121
Is it true that James Murray Spangler did not live in the U.K?,1,-1,9,122
Is it true that Joseph Aspdin did not live in the U.K?,0,-1,9,123
Is it true that Hans Berger did not live in the U.S?,1,-1,9,124
Is it true that Philo Farnsworth did not live in the U.S?,0,-1,9,125
Is it true that Ralph Benjamin did not live in Italy?,1,-1,9,126
Is it true that Florence Parpart did not live in the U.K?,1,-1,9,127
Is it true that Marvin Camras did not live in the U.S?,0,-1,9,128
Is it true that Charles Babbage did not live in the U.K?,0,-1,9,129
Is it true that Charles Francis Richter did not live in France?,1,-1,9,130
Is it true that Ami Argand did not live in Switzerland?,0,-1,9,131
Is it true that Kwolek did not live in the U.S?,1,-1,9,132
Is it true that Richard Gatling did not live in the U.K?,1,-1,9,133
Is it true that Luther Simjian did not live in Turkey/the U.S?,0,-1,9,134
Is it true that Joseph Bramah did not live in the U.K?,0,-1,9,135
Is it true that Hans Geiger did not live in Austria/the U.S?,1,-1,9,136
Is it true that Alexander Graham Bell did not live in Scotland/Canada/the U.S?,0,-1,9,137
Is it true that Blaise Pascal did not live in Poland/France?,1,-1,9,138
Is it true that Charles Macintosh did not live in the U.K?,0,-1,9,139
Is it true that Narinder Singh Kapany did not live in the U.K?,1,-1,9,140
Is it true that Bette Nesmith Graham did not live in the U.S?,0,-1,9,141
Is it true that Édouard-léon Scott de Martinville did not live in the U.K?,1,-1,9,142
Is it true that Orville and Wilbur Wright did not live in the U.S?,0,-1,9,143
Is it true that Richard Leach Maddox did not live in Austria?,1,-1,9,144
Is it true that Hans Oersted did not live in the U.S?,1,-1,9,145
Is it true that Charles Cros did not live in the U.S?,1,-1,9,146
Is it true that R. Buckminster Fuller did not live in Scotland?,1,-1,9,147
Is it true that Willis Carrier did not live in Italy?,1,-1,9,148
Is it true that Charles Cros did not live in France?,0,-1,9,149
Is it true that Thomas Savery did not live in the U.K?,0,-1,9,150
Is it true that Bartolomeo Cristofori did not live in Italy?,0,-1,9,151
Is it true that Louis Pasteur did not live in France?,0,-1,9,152
Is it true that Frederick G. Creed did not live in Sweden?,1,-1,9,153
Is it true that Alexander Fleming did not live in France?,1,-1,9,154
Is it true that Florence Parpart did not live in the U.S?,0,-1,9,155
Is it true that Henri Giffard did not live in the U.S?,1,-1,9,156
Is it true that Paul Gottlieb Nipkow did not live in Germany?,0,-1,9,157
Is it true that Hippolyte Mège-Mouriès did not live in the U.S?,1,-1,9,158
Is it true that Josephine Cochrane did not live in the U.S?,0,-1,9,159
Is it true that Mary Anderson did not live in the U.S?,0,-1,9,160
Is it true that Otis Boykin did not live in France?,1,-1,9,161
Is it true that John Callcott Horsley did not live in the U.K?,0,-1,9,162
Is it true that Jack Kilby did not live in the U.S?,0,-1,9,163
Is it true that Samuel Fox did not live in the U.K?,0,-1,9,164
Is it true that Hans Berger did not live in Germany?,0,-1,9,165
Is it true that Ernest Swinton did not live in the U.S?,1,-1,9,166
Is it true that André-jacques Garnerin did not live in France?,0,-1,9,167
Is it true that Alexander Fleming did not live in the U.K?,0,-1,9,168
Is it true that Hans Goldschmidt did not live in the Netherlands?,1,-1,9,169
