statement,label,polarity,dataset_id,sentence_id
Is it true that the salmon is a fish?,1,1,15,1
Is it true that the frog is a bird?,0,1,15,2
Is it true that the lobster is a crustacean?,1,1,15,3
Is it true that the raccoon is a mammal?,1,1,15,4
Is it true that the horse is a mammal?,1,1,15,5
Is it true that the giant anteater is a fish?,0,1,15,6
Is it true that the aardvark is a fish?,0,1,15,7
Is it true that the hummingbird is a bird?,1,1,15,8
Is it true that the armadillo is a mammal?,1,1,15,9
Is it true that the bee is a bird?,0,1,15,10
Is it true that the gorilla is a mammal?,1,1,15,11
Is it true that the cheetah is a mammal?,1,1,15,12
Is it true that the zebra is a mammal?,1,1,15,13
Is it true that the tapir is a mammal?,1,1,15,14
Is it true that the rabbit is a mammal?,1,1,15,15
Is it true that the platypus is a bird?,0,1,15,16
Is it true that the moose is a bird?,0,1,15,17
Is it true that the kangaroo is a crustacean?,0,1,15,18
Is it true that the camel is a amphibian?,0,1,15,19
Is it true that the lion is a mammal?,1,1,15,20
Is it true that the deer is a mammal?,1,1,15,21
Is it true that the penguin is a bird?,1,1,15,22
Is it true that the seahorse is a fish?,1,1,15,23
Is it true that the chicken is a bird?,1,1,15,24
Is it true that the mongoose is a bird?,0,1,15,25
Is it true that the cassowary is a bird?,1,1,15,26
Is it true that the goat is a bird?,0,1,15,27
Is it true that the tuna is a mammal?,0,1,15,28
Is it true that the swan is a bird?,1,1,15,29
Is it true that the peacock is a bird?,1,1,15,30
Is it true that the walrus is a mollusk?,0,1,15,31
Is it true that the seagull is a bird?,1,1,15,32
Is it true that the cow is a mammal?,1,1,15,33
Is it true that the flamingo is a bird?,1,1,15,34
Is it true that the sparrow is a mammal?,0,1,15,35
Is it true that the panda is a bird?,0,1,15,36
Is it true that the aardvark is a mammal?,1,1,15,37
Is it true that the slug is a mammal?,0,1,15,38
Is it true that the horse is a mollusk?,0,1,15,39
Is it true that the rabbit is a bird?,0,1,15,40
Is it true that the tarantula is a arachnid?,1,1,15,41
Is it true that the rat is a bird?,0,1,15,42
Is it true that the slug is a mollusk?,1,1,15,43
Is it true that the hippopotamus is a reptile?,0,1,15,44
Is it true that the porcupine is a mammal?,1,1,15,45
Is it true that the sea turtle is a fish?,0,1,15,46
Is it true that the manta ray is a mammal?,0,1,15,47
Is it true that the parrot is a bird?,1,1,15,48
Is it true that the parrot is a mammal?,0,1,15,49
Is it true that the deer is a bird?,0,1,15,50
Is it true that the cow is a bird?,0,1,15,51
Is it true that the salmon is a reptile?,0,1,15,52
Is it true that the chimpanzee is a fish?,0,1,15,53
Is it true that the skunk is a mammal?,1,1,15,54
Is it true that the axolotl is a reptile?,0,1,15,55
Is it true that the frog is a amphibian?,1,1,15,56
Is it true that the camel is a mammal?,1,1,15,57
Is it true that the goldfish is a mammal?,0,1,15,58
Is it true that the penguin is a mammal?,0,1,15,59
Is it true that the armadillo is a reptile?,0,1,15,60
Is it true that the koala is a mammal?,1,1,15,61
Is it true that the lion is a bird?,0,1,15,62
Is it true that the bat is a mammal?,1,1,15,63
Is it true that the eagle is a mammal?,0,1,15,64
Is it true that the beaver is a mammal?,1,1,15,65
Is it true that the gecko is a reptile?,1,1,15,66
Is it true that the dolphin is a crustacean?,0,1,15,67
Is it true that the elephant is a mammal?,1,1,15,68
Is it true that the crocodile is a mammal?,0,1,15,69
Is it true that the peacock is a mammal?,0,1,15,70
Is it true that the otter is a fish?,0,1,15,71
Is it true that the cheetah is a insect?,0,1,15,72
Is it true that the hyena is a bird?,0,1,15,73
Is it true that the tarantula is a insect?,0,1,15,74
