statement,label,polarity,dataset_id,sentence_id
Is it true that the salmon is not a fish?,0,-1,14,1
Is it true that the frog is not a bird?,1,-1,14,2
Is it true that the lobster is not a crustacean?,0,-1,14,3
Is it true that the raccoon is not a mammal?,0,-1,14,4
Is it true that the horse is not a mammal?,0,-1,14,5
Is it true that the giant anteater is not a fish?,1,-1,14,6
Is it true that the aardvark is not a fish?,1,-1,14,7
Is it true that the hummingbird is not a bird?,0,-1,14,8
Is it true that the armadillo is not a mammal?,0,-1,14,9
Is it true that the bee is not a bird?,1,-1,14,10
Is it true that the gorilla is not a mammal?,0,-1,14,11
Is it true that the cheetah is not a mammal?,0,-1,14,12
Is it true that the zebra is not a mammal?,0,-1,14,13
Is it true that the tapir is not a mammal?,0,-1,14,14
Is it true that the rabbit is not a mammal?,0,-1,14,15
Is it true that the platypus is not a bird?,1,-1,14,16
Is it true that the moose is not a bird?,1,-1,14,17
Is it true that the kangaroo is not a crustacean?,1,-1,14,18
Is it true that the camel is not a amphibian?,1,-1,14,19
Is it true that the lion is not a mammal?,0,-1,14,20
Is it true that the deer is not a mammal?,0,-1,14,21
Is it true that the penguin is not a bird?,0,-1,14,22
Is it true that the seahorse is not a fish?,0,-1,14,23
Is it true that the chicken is not a bird?,0,-1,14,24
Is it true that the mongoose is not a bird?,1,-1,14,25
Is it true that the cassowary is not a bird?,0,-1,14,26
Is it true that the goat is not a bird?,1,-1,14,27
Is it true that the tuna is not a mammal?,1,-1,14,28
Is it true that the swan is not a bird?,0,-1,14,29
Is it true that the peacock is not a bird?,0,-1,14,30
Is it true that the walrus is not a mollusk?,1,-1,14,31
Is it true that the seagull is not a bird?,0,-1,14,32
Is it true that the cow is not a mammal?,0,-1,14,33
Is it true that the flamingo is not a bird?,0,-1,14,34
Is it true that the sparrow is not a mammal?,1,-1,14,35
Is it true that the panda is not a bird?,1,-1,14,36
Is it true that the aardvark is not a mammal?,0,-1,14,37
Is it true that the slug is not a mammal?,1,-1,14,38
Is it true that the horse is not a mollusk?,1,-1,14,39
Is it true that the rabbit is not a bird?,1,-1,14,40
Is it true that the tarantula is not a arachnid?,0,-1,14,41
Is it true that the rat is not a bird?,1,-1,14,42
Is it true that the slug is not a mollusk?,0,-1,14,43
Is it true that the hippopotamus is not a reptile?,1,-1,14,44
Is it true that the porcupine is not a mammal?,0,-1,14,45
Is it true that the sea turtle is not a fish?,1,-1,14,46
Is it true that the manta ray is not a mammal?,1,-1,14,47
Is it true that the parrot is not a bird?,0,-1,14,48
Is it true that the parrot is not a mammal?,1,-1,14,49
Is it true that the deer is not a bird?,1,-1,14,50
Is it true that the cow is not a bird?,1,-1,14,51
Is it true that the salmon is not a reptile?,1,-1,14,52
Is it true that the chimpanzee is not a fish?,1,-1,14,53
Is it true that the skunk is not a mammal?,0,-1,14,54
Is it true that the axolotl is not a reptile?,1,-1,14,55
Is it true that the frog is not a amphibian?,0,-1,14,56
Is it true that the camel is not a mammal?,0,-1,14,57
Is it true that the goldfish is not a mammal?,1,-1,14,58
Is it true that the penguin is not a mammal?,1,-1,14,59
Is it true that the armadillo is not a reptile?,1,-1,14,60
Is it true that the koala is not a mammal?,0,-1,14,61
Is it true that the lion is not a bird?,1,-1,14,62
Is it true that the bat is not a mammal?,0,-1,14,63
Is it true that the eagle is not a mammal?,1,-1,14,64
Is it true that the beaver is not a mammal?,0,-1,14,65
Is it true that the gecko is not a reptile?,0,-1,14,66
Is it true that the dolphin is not a crustacean?,1,-1,14,67
Is it true that the elephant is not a mammal?,0,-1,14,68
Is it true that the crocodile is not a mammal?,1,-1,14,69
Is it true that the peacock is not a mammal?,1,-1,14,70
Is it true that the otter is not a fish?,1,-1,14,71
Is it true that the cheetah is not a insect?,1,-1,14,72
Is it true that the hyena is not a bird?,1,-1,14,73
Is it true that the tarantula is not a insect?,1,-1,14,74
Is it true that the squirrel is not a mammal?,0,-1,14,75
Is it true that the chimpanzee is not a mammal?,0,-1,14,76
Is it true that the rat is not a mammal?,0,-1,14,77
Is it true that the hedgehog is not a mammal?,0,-1,14,78
Is it true that the cat is not a mammal?,0,-1,14,79
Is it true that the hyena is not a mammal?,0,-1,14,80
Is it true that the gecko is not a crustacean?,1,-1,14,81
Is it true that the ostrich is not a bird?,0,-1,14,82
Is it true that the snake is not a reptile?,0,-1,14,83
Is it true that the shark is not a mammal?,1,-1,14,84
Is it true that the iguana is not a reptile?,0,-1,14,85
Is it true that the beaver is not a bird?,1,-1,14,86
Is it true that the swan is not a reptile?,1,-1,14,87
Is it true that the panda is not a mammal?,0,-1,14,88
Is it true that the bee is not a insect?,0,-1,14,89
Is it true that the llama is not a mammal?,0,-1,14,90
Is it true that the flamingo is not a mammal?,1,-1,14,91
Is it true that the tuna is not a fish?,0,-1,14,92
Is it true that the wolverine is not a mammal?,0,-1,14,93
Is it true that the goldfish is not a fish?,0,-1,14,94
Is it true that the zebra is not a fish?,1,-1,14,95
Is it true that the polar bear is not a fish?,1,-1,14,96
Is it true that the whale is not a fish?,1,-1,14,97
Is it true that the seagull is not a mammal?,1,-1,14,98
Is it true that the bison is not a mammal?,0,-1,14,99
Is it true that the platypus is not a mammal?,0,-1,14,100
Is it true that the cat is not a bird?,1,-1,14,101
Is it true that the mongoose is not a mammal?,0,-1,14,102
Is it true that the wolverine is not a bird?,1,-1,14,103
Is it true that the squirrel is not a bird?,1,-1,14,104
Is it true that the lobster is not a mammal?,1,-1,14,105
Is it true that the cassowary is not a mammal?,1,-1,14,106
Is it true that the hamster is not a mammal?,0,-1,14,107
Is it true that the tiger is not a amphibian?,1,-1,14,108
Is it true that the alpaca is not a bird?,1,-1,14,109
Is it true that the koala is not a fish?,1,-1,14,110
Is it true that the jellyfish is not a cnidarian?,0,-1,14,111
Is it true that the shark is not a fish?,0,-1,14,112
Is it true that the gazelle is not a mammal?,0,-1,14,113
Is it true that the octopus is not a fish?,1,-1,14,114
Is it true that the dolphin is not a mammal?,0,-1,14,115
Is it true that the tortoise is not a reptile?,0,-1,14,116
Is it true that the leopard is not a bird?,1,-1,14,117
Is it true that the bison is not a amphibian?,1,-1,14,118
Is it true that the dog is not a bird?,1,-1,14,119
Is it true that the axolotl is not a amphibian?,0,-1,14,120
Is it true that the hamster is not a fish?,1,-1,14,121
Is it true that the tortoise is not a cnidarian?,1,-1,14,122
Is it true that the iguana is not a bird?,1,-1,14,123
Is it true that the eagle is not a bird?,0,-1,14,124
Is it true that the hippopotamus is not a mammal?,0,-1,14,125
Is it true that the jellyfish is not a mammal?,1,-1,14,126
Is it true that the chicken is not a mammal?,1,-1,14,127
Is it true that the raccoon is not a mollusk?,1,-1,14,128
Is it true that the octopus is not a mollusk?,0,-1,14,129
Is it true that the otter is not a mammal?,0,-1,14,130
Is it true that the walrus is not a mammal?,0,-1,14,131
Is it true that the hummingbird is not a mammal?,1,-1,14,132
Is it true that the giraffe is not a crustacean?,1,-1,14,133
Is it true that the narwhal is not a bird?,1,-1,14,134
Is it true that the vulture is not a bird?,0,-1,14,135
Is it true that the llama is not a bird?,1,-1,14,136
Is it true that the dog is not a mammal?,0,-1,14,137
Is it true that the hedgehog is not a bird?,1,-1,14,138
Is it true that the snake is not a fish?,1,-1,14,139
Is it true that the rhinoceros is not a mammal?,0,-1,14,140
Is it true that the moose is not a mammal?,0,-1,14,141
Is it true that the tiger is not a mammal?,0,-1,14,142
Is it true that the ostrich is not a fish?,1,-1,14,143
Is it true that the porcupine is not a bird?,1,-1,14,144
Is it true that the leopard is not a mammal?,0,-1,14,145
Is it true that the gorilla is not a amphibian?,1,-1,14,146
Is it true that the whale is not a mammal?,0,-1,14,147
Is it true that the gazelle is not a mollusk?,1,-1,14,148
Is it true that the bat is not a bird?,1,-1,14,149
Is it true that the pigeon is not a bird?,0,-1,14,150
Is it true that the rhinoceros is not a reptile?,1,-1,14,151
Is it true that the seahorse is not a mammal?,1,-1,14,152
Is it true that the crocodile is not a reptile?,0,-1,14,153
Is it true that the narwhal is not a mammal?,0,-1,14,154
Is it true that the vulture is not a fish?,1,-1,14,155
Is it true that the giraffe is not a mammal?,0,-1,14,156
Is it true that the elephant is not a bird?,1,-1,14,157
Is it true that the skunk is not a reptile?,1,-1,14,158
Is it true that the sparrow is not a bird?,0,-1,14,159
Is it true that the goat is not a mammal?,0,-1,14,160
Is it true that the tapir is not a bird?,1,-1,14,161
Is it true that the pigeon is not a mammal?,1,-1,14,162
Is it true that the kangaroo is not a mammal?,0,-1,14,163
Is it true that the alpaca is not a mammal?,0,-1,14,164
