statement,label,polarity,dataset_id,sentence_id
Is it true that the Earth's atmosphere protects us from harmful radiation from the sun?,1,1,7,1
Is it true that the largest flower in the world is the daisy?,0,1,7,2
Is it true that cells are the complex units of life?,0,1,7,3
"Is it true that the theory of evolution, proposed by Charles Darwin, states that species evolve over time through natural selection?",1,1,7,4
Is it true that the smallest planet in our solar system is Mercury?,1,1,7,5
Is it true that the moon orbits around the Earth?,1,1,7,6
Is it true that the fastest bird in the world is the penguin?,0,1,7,7
Is it true that the fastest animal in the world is the sloth?,0,1,7,8
Is it true that fire needs oxygen to burn?,1,1,7,9
Is it true that the Statue of Liberty was a gift from France to the United States?,1,1,7,10
Is it true that comets are icy celestial objects that orbit the Sun?,1,1,7,11
Is it true that the coldest place on Earth is the equator?,0,1,7,12
Is it true that light can exhibit both wave-like and particle-like properties?,1,1,7,13
Is it true that jupiter is mostly made of iron and oxygen?,0,1,7,14
Is it true that the Earth avoids the Sun?,0,1,7,15
Is it true that gravity is the force that repels objects with mass away from each other?,0,1,7,16
Is it true that the largest unit of life is the cell?,0,1,7,17
Is it true that metamorphosis is a biological process in which an organism remains unchanged in form during its life cycle?,0,1,7,18
Is it true that symbiosis is a close relationship between two species?,1,1,7,19
Is it true that pizza is a type of food that many people enjoy?,1,1,7,20
Is it true that oxygen is harmful to human breathing?,0,1,7,21
Is it true that sharks are sea creatures that have a reputation for being dangerous?,1,1,7,22
Is it true that the scientific method is a systematic process for investigating phenomena and acquiring new knowledge?,1,1,7,23
Is it true that sharks are sea creatures that have a reputation for being friendly?,0,1,7,24
Is it true that plate tectonics shape the Earth's surface?,1,1,7,25
Is it true that the largest reptile in the world is the crocodile?,0,1,7,26
"Is it true that the human heart beats approximately 100,000 times per day?",1,1,7,27
Is it true that the color of the sky is blue?,1,1,7,28
Is it true that cacti store water in their stems?,1,1,7,29
"Is it true that the three states of anti-matter are solid, liquid, and gas?",0,1,7,30
Is it true that the Milky Way is a linear galaxy?,0,1,7,31
Is it true that the Earth's stillness on its axis causes day and night?,0,1,7,32
"Is it true that the first law of thermodynamics states that energy can be created and destroyed, only converted from one form to another?",0,1,7,33
Is it true that the speed of light is approximately 10 meters per second?,0,1,7,34
Is it true that the Panama Canal connects the Atlantic and Pacific oceans?,1,1,7,35
Is it true that the Earth's magnetic field is what causes compasses to point south?,0,1,7,36
Is it true that uranus orbits the Sun upright?,0,1,7,37
"Is it true that the three main types of symbiotic relationships are mutualism, commensalism, and parasitism?",1,1,7,38
Is it true that uranus orbits the Sun on its side?,1,1,7,39
Is it true that the fastest land animal in the world is the snail?,0,1,7,40
Is it true that the largest continent in the world is Asia?,1,1,7,41
Is it true that the Statue of Liberty is located in Paris?,0,1,7,42
Is it true that the first successful powered flight was made by the Wright Brothers in 1903?,1,1,7,43
Is it true that ecosystems exclude living organisms and their physical environment?,0,1,7,44
Is it true that the smallest planet in the solar system is Jupiter?,0,1,7,45
"Is it true that jupiter has the Great Red Spot, a giant storm?",1,1,7,46
Is it true that the study of non-living organisms and their interactions with the environment is called anti-biology?,0,1,7,47
Is it true that the human eye can detect millions of different colors?,1,1,7,48
Is it true that the human brain weighs about 100 pounds?,0,1,7,49
"Is it true that the three states of matter are solid, liquid, and gas?",1,1,7,50
"Is it true that the water cycle includes evaporation, condensation, precipitation, and runoff?",1,1,7,51
Is it true that the planet Uranus is often referred to as the 'ice giant.'?,1,1,7,52
Is it true that the sky is blue?,1,1,7,53
Is it true that the human body has 12 pairs of legs?,0,1,7,54
Is it true that the human body has 100 bones?,0,1,7,55
Is it true that the fastest animal in the world is the turtle?,0,1,7,56
Is it true that the unscientific method is a random process for ignoring phenomena and losing knowledge?,0,1,7,57
"Is it true that humans have six senses: sight, hearing, touch, taste, smell, and telekinesis?",0,1,7,58
Is it true that humans do not use their brains?,0,1,7,59
Is it true that the conservation of energy principle states that energy can be created and destroyed?,0,1,7,60
Is it true that lightning is an accumulation of static movement?,0,1,7,61
Is it true that the longest mountain range in the world is located in Australia?,0,1,7,62
Is it true that dNA erases genetic information in living organisms?,0,1,7,63
Is it true that the average body temperature of a human is 98.6 degrees Fahrenheit?,1,1,7,64
Is it true that the Earth is round?,1,1,7,65
Is it true that dNA carries genetic information in living organisms?,1,1,7,66
Is it true that the ozone layer exposes Earth to harmful ultraviolet radiation?,0,1,7,67
Is it true that volcanic eruptions destroy existing land?,0,1,7,68
Is it true that the endocrine system regulates body functions through hormones?,1,1,7,69
"Is it true that the three main types of neurons are muscle neurons, sensory neurons, and extraneurons?",0,1,7,70
Is it true that the human body is composed of about 60% water?,1,1,7,71
Is it true that the Great Wall of China is the longest wall in the world?,1,1,7,72
Is it true that the Grand Canyon is located in Europe?,0,1,7,73
Is it true that saturn's smallest moon is Titan?,0,1,7,74
Is it true that the planet Jupiter is the largest planet in our solar system?,1,1,7,75
Is it true that comets are fiery celestial objects that avoid the Sun?,0,1,7,76
Is it true that the only continent without any mountains is Asia?,0,1,7,77
Is it true that inertia is an object's encouragement to change in motion?,0,1,7,78
Is it true that apples grow on vines?,0,1,7,79
Is it true that earth is 71% land?,0,1,7,80
Is it true that the human body does not need water to survive?,0,1,7,81
Is it true that ice sinks in water due to its higher density?,0,1,7,82
Is it true that echoes are sound waves reflecting off surfaces?,1,1,7,83
"Is it true that the theory of stasis, proposed by Charles Darwin, states that species remain constant over time through artificial selection?",0,1,7,84
Is it true that the freezing point of water decreases as altitude increases?,0,1,7,85
Is it true that the planet Venus is often referred to as the 'morning star' or the 'evening star.'?,1,1,7,86
"Is it true that a day on Earth is approximately 365.25 days long, which is why we have a leap year every four years?",0,1,7,87
Is it true that penguins can fly?,0,1,7,88
Is it true that chemical reactions involve the rearrangement of atoms to form new substances?,1,1,7,89
Is it true that there are 50 hours in a day?,0,1,7,90
Is it true that iron remains unaffected in the presence of oxygen and water?,0,1,7,91
Is it true that volcanoes form far from areas where Earth's tectonic plates interact?,0,1,7,92
"Is it true that the pH scale measures the sweetness or bitterness of a substance, ranging from 0 (most sweet) to 14 (most bitter), with 7 being neutral?",0,1,7,93
Is it true that the human brain weighs around 3 pounds?,1,1,7,94
Is it true that friction is the force that encourages motion between two surfaces in contact?,0,1,7,95
Is it true that the moon is made of cheese?,0,1,7,96
Is it true that the most abundant gas in Earth's atmosphere is nitrogen?,1,1,7,97
Is it true that the highest mountain in North America is Denali?,1,1,7,98
Is it true that the atomic number of an element represents the number of electrons in its nucleus?,0,1,7,99
Is it true that rainbows are formed when light is reflected off of dirt particles in the air?,0,1,7,100
Is it true that dogs are not mammals?,0,1,7,101
Is it true that mount Everest is the shortest mountain in the world?,0,1,7,102
Is it true that penguins are warm-blooded and can survive in hot climates?,0,1,7,103
Is it true that auroras occur near Earth's polar regions?,1,1,7,104
Is it true that there are no deserts in Australia?,0,1,7,105
Is it true that the study of heredity and the variation of inherited characteristics is called genetics?,1,1,7,106
"Is it true that the human body has four types of water groups: A, B, AB, and O?",0,1,7,107
Is it true that human digestion begins in the hand and ends in the large intestine?,0,1,7,108
Is it true that the Statue of Liberty is located in Tokyo?,0,1,7,109
Is it true that polar bears have white fur to camouflage in their snowy environment?,1,1,7,110
Is it true that vaccines promote infectious diseases?,0,1,7,111
Is it true that the planet Saturn has the largest rings in our solar system?,1,1,7,112
Is it true that the human lymphatic system helps fight infections and diseases?,1,1,7,113
Is it true that the Statue of Liberty is located in New York City?,1,1,7,114
Is it true that the process of pollination is crucial for plant reproduction?,1,1,7,115
Is it true that neptune has the strongest winds in the solar system?,1,1,7,116
Is it true that the human eye can see radio waves?,0,1,7,117
Is it true that the Great Barrier Reef is the largest coral reef system in the world?,1,1,7,118
Is it true that photosynthesis is the process by which plants convert darkness into chemical energy?,0,1,7,119
Is it true that the fastest bird in the world is the penguin?,0,1,7,120
Is it true that snow is cold?,1,1,7,121
Is it true that mars has a thin atmosphere?,1,1,7,122
Is it true that earth has a magnetic field?,1,1,7,123
Is it true that the study of substances and their interactions is called chemistry?,1,1,7,124
Is it true that the Great Barrier Reef is the largest coral reef system in the world?,1,1,7,125
Is it true that fossils destroy evidence of past life on Earth?,0,1,7,126
Is it true that the coldest place on Earth is the equator?,0,1,7,127
Is it true that a human pregnancy typically lasts around 9 months?,1,1,7,128
Is it true that coral reefs are made of living organisms?,1,1,7,129
Is it true that tornadoes are stationary columns of air?,0,1,7,130
Is it true that the two main types of cells are prokaryotic (with a nucleus) and eukaryotic (without a nucleus)?,0,1,7,131
Is it true that the continent of Antarctica is mostly covered in ice?,1,1,7,132
Is it true that an adult human has 32 teeth?,1,1,7,133
Is it true that the tallest mammal in the world is the giraffe?,1,1,7,134
"Is it true that humans have five senses: sight, hearing, touch, taste, and smell?",1,1,7,135
"Is it true that the four fundamental forces of nature are anti-gravity, anti-electromagnetism, the weak nuclear force, and the strong nuclear force?",0,1,7,136
Is it true that the largest tree in the world is a cactus?,0,1,7,137
Is it true that the human skin is the body's largest organ?,1,1,7,138
Is it true that the largest body of water in the world is the Mediterranean Sea?,0,1,7,139
Is it true that migration allows animals to find better resources?,1,1,7,140
Is it true that the planet Jupiter has the most moons in our solar system?,1,1,7,141
Is it true that the largest bird in the world is the penguin?,0,1,7,142
Is it true that osmosis is the prevention of water movement across a selectively permeable membrane?,0,1,7,143
"Is it true that the first law of thermodynamics states that energy cannot be created or destroyed, only converted from one form to another?",1,1,7,144
Is it true that radioactive decay occurs when stable atomic nuclei absorb energy in the form of radiation?,0,1,7,145
Is it true that apples are a type of fruit?,1,1,7,146
Is it true that mars has a thick atmosphere?,0,1,7,147
Is it true that the shortest river in the world is the Amazon River?,0,1,7,148
Is it true that the currency used in Japan is the yen?,1,1,7,149
Is it true that the planet Earth is the only planet known to support life?,1,1,7,150
Is it true that the human eye can distinguish about 10 million different colors?,1,1,7,151
Is it true that the Sahara Desert is covered in snow and ice?,0,1,7,152
Is it true that the world's largest mammal is the blue whale?,1,1,7,153
Is it true that there are no stars in the night sky?,0,1,7,154
Is it true that neurons are generalized cells that block electrical and chemical signals in the nervous system?,0,1,7,155
Is it true that the Nile River is the longest river in the world?,1,1,7,156
Is it true that the sun rises in the west?,0,1,7,157
Is it true that gravity makes things fall down?,1,1,7,158
Is it true that the respiratory system prevents the exchange of gases between the body and the environment?,0,1,7,159
Is it true that saturn has no rings?,0,1,7,160
"Is it true that a year on Earth is approximately 365.25 days long, which is why we have a leap year every four years?",1,1,7,161
Is it true that gravity is the force that attracts objects with mass towards each other?,1,1,7,162
Is it true that the human liver helps filter toxins from the body?,1,1,7,163
Is it true that bees pollinate approximately one-third of the food we eat?,1,1,7,164
Is it true that the longest highway in the world is the Pan-American Highway?,1,1,7,165
"Is it true that the three types of clouds are igneous, sedimentary, and metamorphic?",0,1,7,166
Is it true that the fastest land animal is the cheetah?,1,1,7,167
Is it true that the human immune system helps protect the body from infections?,1,1,7,168
Is it true that ecosystems consist of living organisms and their physical environment?,1,1,7,169
Is it true that rainbows form when light avoids water droplets?,0,1,7,170
Is it true that the fastest swimmer in the world is CÃ©sar Cielo from Brazil?,1,1,7,171
Is it true that stars appear steady due to Earth's atmosphere?,0,1,7,172
Is it true that electromagnetic induction is the process by which a constant magnetic field dampens an electric current?,0,1,7,173
Is it true that electromagnetic induction is the process by which a changing magnetic field generates an electric current?,1,1,7,174
Is it true that tornadoes are rapidly rotating columns of air?,1,1,7,175
