statement,label,polarity,dataset_id,sentence_id
Is it true that the Spanish word 'con' means 'to speak'?,0,1,10,1
Is it true that the Spanish word 'uno' means 'one'?,1,1,10,2
Is it true that the Spanish word 'tener' means 'to have'?,1,1,10,3
Is it true that the Spanish word 'caliente' means 'hot'?,1,1,10,4
Is it true that the Spanish word 'palabra' means 'word'?,1,1,10,5
Is it true that the Spanish word 'pero' means 'but'?,1,1,10,6
Is it true that the Spanish word 'o' means 'octopus'?,0,1,10,7
Is it true that the Spanish word 'de' means 'now'?,0,1,10,8
Is it true that the Spanish word 'y' means 'and'?,1,1,10,9
Is it true that the Spanish word 'otro' means 'hot'?,0,1,10,10
Is it true that the Spanish word 'hacer' means 'lost'?,0,1,10,11
Is it true that the Spanish word 'tiempo' means 'market'?,0,1,10,12
Is it true that the Spanish word 'decir' means 'order'?,0,1,10,13
Is it true that the Spanish word 'conjunto' means 'son'?,0,1,10,14
Is it true that the Spanish word 'tres' means 'three'?,1,1,10,15
Is it true that the Spanish word 'querer' means 'of'?,0,1,10,16
Is it true that the Spanish word 'aire' means 'silver'?,0,1,10,17
Is it true that the Spanish word 'jugar' means 'to play'?,1,1,10,18
Is it true that the Spanish word 'poner' means 'whale'?,0,1,10,19
Is it true that the Spanish word 'casa' means 'to make'?,0,1,10,20
Is it true that the Spanish word 'leer' means 'to read'?,1,1,10,21
Is it true that the Spanish word 'mano' means 'too'?,0,1,10,22
Is it true that the Spanish word 'grande' means 'large'?,1,1,10,23
Is it true that the Spanish word 'tierra' means 'land'?,1,1,10,24
Is it true that the Spanish word 'grande' means 'to ask'?,0,1,10,25
Is it true that the Spanish word 'alto' means 'space'?,0,1,10,26
Is it true that the Spanish word 'preguntar' means 'to describe'?,0,1,10,27
Is it true that the Spanish word 'hombre' means 'simple'?,0,1,10,28
Is it true that the Spanish word 'luz' means 'week'?,0,1,10,29
Is it true that the Spanish word 'madre' means 'mother'?,1,1,10,30
Is it true that the Spanish word 'mundo' means 'zebra'?,0,1,10,31
Is it true that the Spanish word 'cerca' means 'dog'?,0,1,10,32
Is it true that the Spanish word 'construir' means 'to build'?,1,1,10,33
Is it true that the Spanish word 'padre' means 'special'?,0,1,10,34
Is it true that the Spanish word 'nuevo' means 'always'?,0,1,10,35
Is it true that the Spanish word 'parte' means 'part'?,1,1,10,36
Is it true that the Spanish word 'lugar' means 'place'?,1,1,10,37
Is it true that the Spanish word 'vivir' means 'sheep'?,0,1,10,38
Is it true that the Spanish word 'espalda' means 'back'?,1,1,10,39
Is it true that the Spanish word 'bueno' means 'good'?,1,1,10,40
Is it true that the Spanish word 'dar' means 'before'?,0,1,10,41
Is it true that the Spanish word 'nombre' means 'name'?,1,1,10,42
Is it true that the Spanish word 'muy' means 'temperature'?,0,1,10,43
Is it true that the Spanish word 'pensar' means 'to think'?,1,1,10,44
Is it true that the Spanish word 'ayudar' means 'to help'?,1,1,10,45
Is it true that the Spanish word 'antes' means 'before'?,1,1,10,46
Is it true that the Spanish word 'derecho' means 'summer'?,0,1,10,47
Is it true that the Spanish word 'viejo' means 'old'?,1,1,10,48
Is it true that the Spanish word 'demasiado' means 'too'?,1,1,10,49
Is it true that the Spanish word 'mismo' means 'to write'?,0,1,10,50
Is it true that the Spanish word 'todo' means 'all'?,1,1,10,51
Is it true that the Spanish word 'usar' means 'to fight'?,0,1,10,52
Is it true that the Spanish word 'entonces' means 'corner'?,0,1,10,53
Is it true that the Spanish word 'escribir' means 'to write'?,1,1,10,54
Is it true that the Spanish word 'largo' means 'history'?,0,1,10,55
Is it true that the Spanish word 'hacer' means 'neck'?,0,1,10,56
Is it true that the Spanish word 'cosa' means 'thing'?,1,1,10,57
Is it true that the Spanish word 'ver' means 'to see'?,1,1,10,58
Is it true that the Spanish word 'dos' means 'enemy'?,0,1,10,59
Is it true that the Spanish word 'venir' means 'to know'?,0,1,10,60
Is it true that the Spanish word 'persona' means 'person'?,1,1,10,61
Is it true that the Spanish word 'saber' means 'happy'?,0,1,10,62
Is it true that the Spanish word 'agua' means 'water'?,1,1,10,63
Is it true that the Spanish word 'primero' means 'first'?,1,1,10,64
Is it true that the Spanish word 'lado' means 'equal'?,0,1,10,65
Is it true that the Spanish word 'ahora' means 'now'?,1,1,10,66
Is it true that the Spanish word 'encontrar' means 'person'?,0,1,10,67
Is it true that the Spanish word 'cabeza' means 'head'?,1,1,10,68
