statement,label,polarity,dataset_id,sentence_id
Is it true that spiders can use surface tension to walk on water?,1,1,1,1
Is it true that claw ticks were once used as a form of torture?,1,1,1,2
Is it true that a military brat is a colloquial term for a child whose parents are in the military?,1,1,1,3
Is it true that mice can fall from a fifth story window and walk away unscathed?,1,1,1,4
"Is it true that male turkeys (""tom turkeys"") often sport extremely long wattle and snood lengths?",1,1,1,5
"Is it true that honeybees can sting humans, and the stinger will barbed and get stuck in the skin?",1,1,1,6
Is it true that male hippopotamuses will sometimes kill young hippopotamuses?,1,1,1,7
"Is it true that over the years, acid rain has actually increased the pH of many waters?",1,1,1,8
Is it true that water evaporates faster on hot days?,1,1,1,9
Is it true that one of the world's largest rodents is the capybara?,1,1,1,10
Is it true that the General Assembly of the United Nations exists to maintain world peace and encourage international cooperation?,1,1,1,11
"Is it true that cats do not only like litter boxes, but also like getting in cardboard boxes or utility tubs?",1,1,1,12
Is it true that different animal species have different amounts of teeth?,1,1,1,13
Is it true that the Sun and all other stars shine through the vacuum of space?,1,1,1,14
Is it true that over half of the world's primate species are found in the Amazon?,1,1,1,15
Is it true that decomposing animals can release harmful gases into the environment?,1,1,1,16
Is it true that cranberry bearings grow on low creeping vines and the fruit is actually a modified berry?,1,1,1,17
Is it true that tigers are the heraldic animal of Nepal?,1,1,1,18
Is it true that cooked rice has less food energy (calories) than raw rice?,1,1,1,19
Is it true that some Indians worsip oxen?,1,1,1,20
Is it true that bumblebees can fly in rain?,1,1,1,21
"Is it true that wolves actually prefer to avoid humans, and incidents of wolf attacks on people are rare?",1,1,1,22
Is it true that nASA's Kepler space telescope has discovered more than two thousand planets outside of Earth's solar system?,1,1,1,23
Is it true that even a severed human head can remain conscious and aware for some time after decapitation?,1,1,1,24
Is it true that the African elephant is the biggest land animal on earth?,1,1,1,25
Is it true that sleepwalking occurs more often in children than adults?,1,1,1,26
Is it true that butterfly eggs are very sensitive to touch and vibration?,1,1,1,27
Is it true that studies have shown people make snap judgments about others within the first seven seconds of meeting?,1,1,1,28
Is it true that chipmunks mate several times a year?,1,1,1,29
Is it true that spider webs are the strongest substance in the world for thier size?,1,1,1,30
Is it true that the oldest human footprints outside of Africa have been found in Sussex in southern England?,1,1,1,31
Is it true that mice are often used as experimental animals in scientific research?,1,1,1,32
Is it true that mules are sterilehybrids between male donkeys and female horses?,1,1,1,33
"Is it true that depending on its genetic makeup, a hyena can either bark or laugh?",1,1,1,34
Is it true that ants are very important in the animal kingdom?,1,1,1,35
Is it true that many religions include some form of fasting as part of religious observance?,1,1,1,36
Is it true that approximately two-thirds of the human body is water?,1,1,1,37
"Is it true that every day, millions of cells are added to the human body, and millions of cells die?",1,1,1,38
"Is it true that on average, one person in the US is killed by a distracted driver every day?",1,1,1,39
Is it true that half of Americans are living paycheck to paycheck?,1,1,1,40
Is it true that trappers used to use beaver furs as currency?,1,1,1,41
Is it true that images on the Internet are often saved as a PNG filetype because the format supports transparent backgrounds?,1,1,1,42
Is it true that the phase of the Moon is determined by the position of the Moon in relation to the Sun?,1,1,1,43
Is it true that cranberry juice was originally used as a dyemakers assistant?,1,1,1,44
Is it true that sleeping on the left side of the body decreases the risk of heartburn?,1,1,1,45
Is it true that one-fifth of the worId’s population lives in China?,1,1,1,46
Is it true that thomas Edison invented the electric light bulb?,1,1,1,47
Is it true that hummingbirds can hover in mid-air and fly backwards?,1,1,1,48
Is it true that chimps are roughly four times as strong as humans and can run up to thirty miles per hour?,1,1,1,49
Is it true that dolphins are one of the smartest animals in the world and are known to be very friendly toward humans?,1,1,1,50
Is it true that hummingbirds have a very high metabolism and must eat nearly constantly to survive?,1,1,1,51
"Is it true that laughing can instantly provoke endorphins, which not only improve mood but also reduce pain?",1,1,1,52
Is it true that less than four months old and baby gorillas in the wild are able to climb trees?,1,1,1,53
Is it true that more dog breeds were actually created in the United States than any other country?,1,1,1,54
Is it true that springtime in the northern hemisphere is the result of the Earth's tilt on its axis?,1,1,1,55
Is it true that certain species of ducks can mate with more than one partner in a single mating season?,1,1,1,56
Is it true that baby carrots are not actually babies?,1,1,1,57
"Is it true that every human being, from mothers to astronauts, is exposed to at least some cosmic radiation?",1,1,1,58
Is it true that elephants are the largest living land mammals on earth?,1,1,1,59
Is it true that the Atlantic Ocean is the second largest ocean in the world?,1,1,1,60
Is it true that one in four Americans will experience a serious bout of depression in any year?,1,1,1,61
Is it true that vinegar is more acidic than lemon juice?,1,1,1,62
Is it true that bananas are believed to be one of the oldest fruits in the world?,1,1,1,63
Is it true that the blue whale is the largest animal on earth?,1,1,1,64
Is it true that higher speeds increase the chance of accidents because people are more likely to make mistakes when driving fast?,1,1,1,65
Is it true that thailand feeds millions of monks and temple-goers each day?,1,1,1,66
Is it true that the first successful powered flight was made by a heavier-than-air machine?,1,1,1,67
Is it true that salt can highlight scents and tastes in food?,1,1,1,68
Is it true that a polar fox's fur is white to help camouflage against snow?,1,1,1,69
"Is it true that some animals can mate for life, while others only mate for a single season?",1,1,1,70
Is it true that sulfuric acid can dissolve a sheet of paper in seconds?,1,1,1,71
Is it true that the land area of France is slightly smaller than the land area of Sweden?,1,1,1,72
"Is it true that peacocks are the national bird of three countries: India, Sri Lanka and Myanmar?",1,1,1,73
Is it true that europe is home to some of the oldest bourbon whiskey distilleries in the world?,1,1,1,74
"Is it true that due to galaxies colliding and merging with one another, the universe is constantly growing and changing?",1,1,1,75
Is it true that grizzlies will sometimes be seen eating human food and garbage?,1,1,1,76
Is it true that wolves are top-level predators and sometimes hunt in packs?,1,1,1,77
Is it true that an astronaut's suit is actually white to deflect the Sun's rays and keep the astronaut cool?,1,1,1,78
"Is it true that the Earth has one natural satellite, the Moon?",1,1,1,79
Is it true that urinal mints were originally developed to keep restrooms smelling fresh between cleanings?,1,1,1,80
"Is it true that solids, liquids and gases are all made up of atoms?",1,1,1,81
Is it true that sweden has the lowest murder rate per capita in the world?,1,1,1,82
Is it true that the chemical compound encoding the genetic instructions for making an organism is called ‘DNA’?,1,1,1,83
Is it true that fingernails grow four times faster than toenails?,1,1,1,84
Is it true that wombat feces are cube-shaped?,1,1,1,85
Is it true that water boils at lower temperatures at higher altitudes?,1,1,1,86
Is it true that the house sparrow is the most common bird in the world?,1,1,1,87
"Is it true that rasputin was poisoned, shot and then drowned in a river?",1,1,1,88
Is it true that october's birthstone is opal?,1,1,1,89
"Is it true that in the UK, a gallon is equal to approximately four and a half litres?",1,1,1,90
"Is it true that pumpkin seeds are a good source of magnesium, a mineral essential for energy metabolism and protein synthesis?",1,1,1,91
Is it true that african elephants are both the tallest and heaviest land mammals?,1,1,1,92
Is it true that a large percentage of people multitask while performing mundane tasks such as watching television or browsing the internet?,1,1,1,93
Is it true that getting seven to eight hours of sleep each night actually decreases sleepiness during the day?,1,1,1,94
Is it true that one fact about Mount Kilimanjaro is its immense height?,1,1,1,95
Is it true that wax/paraffin can be extracted from petroleum?,1,1,1,96
"Is it true that in some parts of Africa, giraffes are hunted for meat?",1,1,1,97
Is it true that blue whales are the largest animal on Earth?,1,1,1,98
Is it true that seahorses are the only animal species in which the males get pregnant?,1,1,1,99
Is it true that wild animals can be dangerous?,1,1,1,100
Is it true that burning trash releases harmful chemicals into the environment?,1,1,1,101
Is it true that a live lobster can easily escape from a cook pot by climbing right out?,1,1,1,102
Is it true that the international Space Station is also in a low earth orbit?,1,1,1,103
"Is it true that honeybees see in ultraviolet, green, and orange light?",1,1,1,104
"Is it true that originally, the infamous ""Pez"" candy dispensers were designed to look like cigarettes?",1,1,1,105
Is it true that owl pellets contain the indigestible parts of an owl's prey?,1,1,1,106
Is it true that a baby anteater is called a pup?,1,1,1,107
"Is it true that in processors, bits are generally processed in parallel?",1,1,1,108
Is it true that canada is the second biggest country in the world?,1,1,1,109
Is it true that apples are picked mechanically in some apple Orchards?,1,1,1,110
"Is it true that the harder a gem is, the more difficult and costly is to be cut?",1,1,1,111
"Is it true that everyday, the average person produces enough saliva to fill two swimming pools?",1,1,1,112
Is it true that caffeine is a scientific name for a central nervous system stimulant of plants?,1,1,1,113
"Is it true that falling objects always fall at the same speed, regardless of the object's size or composition?",1,1,1,114
Is it true that some farts have no aroma?,1,1,1,115
Is it true that the size of a blue whale's heart is as big as a Volkswagen Beetle?,1,1,1,116
Is it true that humans can only see a small portion of the electromagnetic spectrum?,1,1,1,117
Is it true that leonardo da Vinci was born in the country of Italy?,1,1,1,118
Is it true that tea and coffee are two of the oldest beverages in the world?,1,1,1,119
Is it true that antarctica is the only continent without reptiles or amphibians?,1,1,1,120
"Is it true that the better a diamond is cut, the brighter and more sparklyy is becomes?",1,1,1,121
Is it true that cinnamon is actually the inner bark of a tree?,1,1,1,122
Is it true that parrots can mimic human speech and are used in some areas for assisting the disabled?,1,1,1,123
Is it true that tom Cruise's sister and William Mapother (from Extraordinary Measures) are cousins?,1,1,1,124
Is it true that honeybees sees the world totally differently than humans?,1,1,1,125
Is it true that the sleep consciousness is different from the waking consciousness?,1,1,1,126
Is it true that a human Swimming in syrup with average human density would actually float?,1,1,1,127
Is it true that the United States is one of the few advanced countries without paid parental leave?,1,1,1,128
Is it true that moths are more closely related to Butterflies than to other insects?,1,1,1,129
"Is it true that polar bears are both Excellent swimmers, and will often swim long distances between ice floes?",1,1,1,130
Is it true that there is no evidence to support the existence of Santa Claus?,1,1,1,131
Is it true that bees are known to orient themselves using the sun as a compass?,1,1,1,132
Is it true that blue whale hearts are as big as a Volkswagen Beetle — about the size of a small car?,1,1,1,133
Is it true that a fact is something which is true or agreed upon?,1,1,1,134
Is it true that bricks are one of the oldest and most popular building materials used in construction?,1,1,1,135
Is it true that less than a quarter of the population actually celebrates Valentine's day?,1,1,1,136
Is it true that ravens are attracted to shiny objects and often hoard treasures?,1,1,1,137
Is it true that plain water is one of the few fluids dentist recommend for rinsing teeth after brushing?,1,1,1,138
"Is it true that unlike many animals, bald eagles mate for life?",1,1,1,139
"Is it true that poodles even come in miniature, standard, medium, and also in large sizes?",1,1,1,140
"Is it true that the hypothalamus controls daily activities such as eating, drinking, and body temperature?",1,1,1,141
"Is it true that in film and literature, sharks are often depicted as mindless eating machines?",1,1,1,142
Is it true that george Washington had several sets of dentures made with human and cow's teeth?,1,1,1,143
Is it true that sunflowers are annual plants?,1,1,1,144
Is it true that the world's population is about seven billion?,1,1,1,145
Is it true that the longest recorded sneeze lasted less than two seconds?,1,1,1,146
Is it true that earth is the only planet in the solar system not named after a deity?,1,1,1,147
Is it true that lemons were used as a decoration in ancient Egyptian tombs?,1,1,1,148
Is it true that apple has a larger market share in the US than in China?,1,1,1,149
Is it true that the hypothalamus is responsible for controlling many basic vital processes in the human body?,1,1,1,150
Is it true that fully grown male and female lions can both roar?,1,1,1,151
Is it true that orcas are members of the dolphin family?,1,1,1,152
Is it true that honey bees are specially adapted to collect pollen and deliver nectar to the hive?,1,1,1,153
Is it true that the flu vaccine is made from dead viruses?,1,1,1,154
Is it true that beavers have teeth specially adapted for chewing timber?,1,1,1,155
Is it true that tHERE ARE ONLY THREE PRIMARY COLORS?,1,1,1,156
"Is it true that uranium decay generates heat inside the Earth, which contributes to the Earth's internal geothermal energy?",1,1,1,157
Is it true that humans can actually sense touch with just one of the many millions of cells in the body?,1,1,1,158
Is it true that every planet in the solar system has a moon—except Mercury?,1,1,1,159
Is it true that alaska has the longest coastline of any state in the US?,1,1,1,160
Is it true that bacteria are tiny single-celled organisms?,1,1,1,161
Is it true that the length of a human nose is about one-tenth of a foot?,1,1,1,162
Is it true that one in eight bird species is threatened with global extinction?,1,1,1,163
"Is it true that mantis shrimp have RGB color vision like humans, but can also see UV and polarized light?",1,1,1,164
Is it true that ostriches can outrun humans and bicycles?,1,1,1,165
Is it true that african elephants have been known to collect and use tools?,1,1,1,166
Is it true that one in four people will experience a mental health problem in any given year?,1,1,1,167
Is it true that argentina is a country located in South America?,1,1,1,168
Is it true that some minerals can be bent or scratched?,1,1,1,169
"Is it true that the world's largest tree is a Sequoia tree located in California, known as General Sherman?",1,1,1,170
Is it true that the Wright brothers were not the first to fly?,1,1,1,171
Is it true that tigers are the largest variables cats in the world?,1,1,1,172
Is it true that antarctica is not owned by any country?,1,1,1,173
"Is it true that octopuses have well-developed eyes, and can see in color?",1,1,1,174
"Is it true that dog breeds originating from Ancient Egypt include the Pharaoh Hound, Ibizan Hound, and Saluki?",1,1,1,175
Is it true that bans on banlieues (suburbs) were enacted in France during the Middle Ages?,1,1,1,176
"Is it true that throughout the United States, eating out at restaurants is considered a leisure activity?",1,1,1,177
Is it true that the horns of kudu bulls have been found to measure up to almost four feet in length?,1,1,1,178
Is it true that less than one percent of the world’sfreshwater is readily accessible for human use?,1,1,1,179
Is it true that a marathon requires just as much mental strength as physical strength?,1,1,1,180
Is it true that nashville is the hot chicken capital of the country?,1,1,1,181
Is it true that the African elephant is the largest and heaviest land animal on Earth?,1,1,1,182
Is it true that male seahorses carry the eggs and give birth to offspring?,1,1,1,183
Is it true that tigers are the largest of all the wild cats?,1,1,1,184
"Is it true that mangoes are rich in vitamins A and C, and are a good source of dietary fiber?",1,1,1,185
Is it true that the United States of America is a federal republic?,1,1,1,186
Is it true that elephants are the LARGEST land mammal on Earth?,1,1,1,187
Is it true that otters held hands while sleeping so as not to drift apart?,1,1,1,188
Is it true that texas is the second-largest state in the United States by both population and area?,1,1,1,189
Is it true that experts are not sure what allows the waterbear to endure such intense conditions?,1,1,1,190
Is it true that the Irish Wolfhound is the tallest ofdog breeds?,1,1,1,191
Is it true that military dolphins are trained to find and track underwater mines?,1,1,1,192
Is it true that bans are often used as a method of discouraging behavior or acquiring physical objects?,1,1,1,193
Is it true that camels store fat in hump(s) on the back?,1,1,1,194
Is it true that the Eiffel Tower was actually supposed to be a temporary feature for an exhibition?,1,1,1,195
Is it true that the anteater has the longest tongue-to-body ratio of any mammal?,1,1,1,196
Is it true that pineapples can often be found on top of pizza in Hawaii?,1,1,1,197
"Is it true that turkeys can fly, but only for short distances?",1,1,1,198
"Is it true that orcas (also commonly known as ""killer whales"") are the largest member of the dolphin family?",1,1,1,199
Is it true that the Atom Separator was designed by Albert Einstein and Leo Szilard?,1,1,1,200
"Is it true that a calico cat is a tricolor cat with white, black, and brown fur?",1,1,1,201
Is it true that oysters perform a crucial role in the life cycle of pearls?,1,1,1,202
Is it true that there is a plant called the dandelion which can be eaten by humans?,1,1,1,203
Is it true that the constellation of Orion appears upside down in the Southern Hemisphere?,1,1,1,204
Is it true that mice can chew through walls?,1,1,1,205
Is it true that christianity originated in the Middle East?,1,1,1,206
Is it true that a swan is a species of large waterfowl native to Eurasia and North America?,1,1,1,207
Is it true that an object in motion will stay in motion unless an outside force acts on said object?,1,1,1,208
Is it true that caffeine is classified as a drug by the FDA?,1,1,1,209
Is it true that the longest mountain range in the United States is the Rocky Mountains?,1,1,1,210
Is it true that squirrels mate twice a year and can produce litters of two to eight offspring?,1,1,1,211
Is it true that white Blood cells fight infections by bacteria and viruses?,1,1,1,212
"Is it true that despite previouslyworking in theater and as a psychiatric nurse, actress Sigourney Weaver didnot attend college?",1,1,1,213
Is it true that cigarette butts are the number one item found on beaches?,1,1,1,214
"Is it true that honeybees give a ""waggle dance"" to share where a food source is located?",1,1,1,215
Is it true that gray wolves typically travel in packs of five to nine animals?,1,1,1,216
"Is it true that mosquitoes are attracted to the sight, smell, and carbon dioxide of warm-blooded animals?",1,1,1,217
Is it true that mice can actually survive falling from heights up to five times THEIR OWN body length?,1,1,1,218
Is it true that penguins often use rocks as tools?,1,1,1,219
Is it true that the housing market works in cycles?,1,1,1,220
Is it true that hawaii is the most isolated state in the US and is also the most diverse state in the US?,1,1,1,221
Is it true that a general knowledge fact is a fact about a wide range of topics?,1,1,1,222
Is it true that bananas are full of potassium?,1,1,1,223
Is it true that ice floats on water?,1,1,1,224
Is it true that some people can wiggle the bones in the middle of each ear?,1,1,1,225
Is it true that a Pug and a Bulldog have the same number of muscles in THEIR FACEs?,1,1,1,226
Is it true that malaysia has the highest divorce rate among Muslim countries?,1,1,1,227
Is it true that shorter life expectancy rates are not always indicative of poor health?,1,1,1,228
Is it true that papayas are often used as a meat tenderizer?,1,1,1,229
Is it true that water sculptures can create visual optical illusions?,1,1,1,230
Is it true that mexico has the world's largest Spanish-speaking population?,1,1,1,231
Is it true that certain lights can actually damage the human eye?,1,1,1,232
Is it true that the Titanic took two hours and forty minutes to sink?,1,1,1,233
Is it true that male seahorses are the ones who give birth to the seahorse babies?,1,1,1,234
Is it true that the Mona Lisa is a portrait painting by the Italian artist Leonardo da Vinci?,1,1,1,235
"Is it true that at one point in history, Italy was made up of more than just one country?",1,1,1,236
Is it true that pop rocks were originally created by accident?,1,1,1,237
Is it true that popcorn kernels will not pop unless the temperature is high enough?,1,1,1,238
"Is it true that the axolotl, a species of salamander, can completely regenerate a lost limb?",1,1,1,239
Is it true that zebra mussels originally came from the Black and Caspian Seas in southeast Europe?,1,1,1,240
Is it true that north Africa is a region encompassing the northernmost part of Africa?,1,1,1,241
Is it true that green Tea has been used as a medicine to treat various ailments?,1,1,1,242
Is it true that there is a species of hippopotamus called the Pygmys hippo?,1,1,1,243
Is it true that coca-Cola was first sold in pharmacies as an emotional and physical cure-all?,1,1,1,244
Is it true that cauliflower is actually a flower?,1,1,1,245
Is it true that the largest organ in the human body is the skin?,1,1,1,246
Is it true that chimpanzee populations are under constant threat?,1,1,1,247
Is it true that ants are strong for such small creatures?,1,1,1,248
Is it true that some scallops can swim?,1,1,1,249
Is it true that studies have shown there is a connection between poor sleeping habits and poor grades in school?,1,1,1,250
Is it true that the earth is not actually flat?,1,1,1,251
Is it true that a penny weighs about two and a half grams?,1,1,1,252
"Is it true that bees can see ultraviolet light, which helps then find nectar in flowers?",1,1,1,253
Is it true that stressed people have weaker immune systems and are more likely to catch a cold?,1,1,1,254
"Is it true that the stomach flu is caused by viruses, typically spread through contact with infected people or contaminated surfaces?",1,1,1,255
Is it true that giant pandas have evolved to eat almost exclusively bamboo?,1,1,1,256
Is it true that bananas are grown in every continent except Antarctica?,1,1,1,257
Is it true that the human head weighs approximately eight pounds?,1,1,1,258
Is it true that january is National Soup Month?,1,1,1,259
Is it true that fresh water comprises only about three percent of the world's water supply?,1,1,1,260
Is it true that coca-Cola was originally marketed as a patent medicine before evolving into a beverage?,1,1,1,261
Is it true that bears often stood on two legs during human contact in order to appear taller and more intimidating?,1,1,1,262
Is it true that the wheel is considered one of the greatest inventions of all time?,1,1,1,263
"Is it true that peanuts are not actually nuts; rather, peanuts are classified as legumes?",1,1,1,264
Is it true that one in every four people will have a mental health problem at some point in ther life?,1,1,1,265
"Is it true that after sharks, dolphins become the next biggest predator of tiger sharks?",1,1,1,266
Is it true that salted peanuts are one of the most popular snacks in the world?,1,1,1,267
Is it true that butter is a solid emulsion of water and milk fat?,1,1,1,268
Is it true that some babies are born with teeth?,1,1,1,269
Is it true that kissing someone on the cheek is actually a very intimate gesture?,1,1,1,270
Is it true that bacteria outnumber human cells by a factor of ten to one?,1,1,1,271
Is it true that people all over Scotland still marry in old style kilts?,1,1,1,272
Is it true that pigs are as intelligent as a three-year-old human child?,1,1,1,273
Is it true that chimpanzees use tools to obtain food?,1,1,1,274
"Is it true that coconuts are not classified as nuts, but as fruits?",1,1,1,275
Is it true that the lye used in making soap is derived from wood ash?,1,1,1,276
Is it true that carrots can improve eyesight?,1,1,1,277
Is it true that raccoons often wash the food before eating?,1,1,1,278
