statement,label,polarity,dataset_id,sentence_id
Is it true that thallium does not have the symbol Tl?,0,-1,12,1
Is it true that barium does not have the symbol Sb?,1,-1,12,2
Is it true that tantalum does not have the symbol Ta?,0,-1,12,3
Is it true that beryllium does not have the symbol Be?,0,-1,12,4
Is it true that yttrium does not have the symbol U?,1,-1,12,5
Is it true that krypton does not have the symbol Kr?,0,-1,12,6
Is it true that molybdenum does not have the symbol Np?,1,-1,12,7
Is it true that strontium does not have the symbol Sn?,1,-1,12,8
Is it true that rubidium does not have the symbol Rb?,0,-1,12,9
Is it true that titanium does not have the symbol Ti?,0,-1,12,10
Is it true that strontium does not have the symbol Sr?,0,-1,12,11
Is it true that mercury does not have the symbol Cl?,1,-1,12,12
Is it true that xenon does not have the symbol Xe?,0,-1,12,13
Is it true that uranium does not have the symbol Re?,1,-1,12,14
Is it true that indium does not have the symbol As?,1,-1,12,15
Is it true that gallium does not have the symbol Ga?,0,-1,12,16
Is it true that europium does not have the symbol Eu?,0,-1,12,17
Is it true that chlorine does not have the symbol Cl?,0,-1,12,18
Is it true that palladium does not have the symbol Nd?,1,-1,12,19
Is it true that rubidium does not have the symbol Kr?,1,-1,12,20
Is it true that zinc does not have the symbol Fr?,1,-1,12,21
Is it true that sodium does not have the symbol Lu?,1,-1,12,22
Is it true that francium does not have the symbol Fr?,0,-1,12,23
Is it true that selenium does not have the symbol Se?,0,-1,12,24
Is it true that silver does not have the symbol Ag?,0,-1,12,25
Is it true that potassium does not have the symbol Al?,1,-1,12,26
Is it true that neon does not have the symbol Ne?,0,-1,12,27
Is it true that palladium does not have the symbol Pd?,0,-1,12,28
Is it true that sulfur does not have the symbol S?,0,-1,12,29
Is it true that antimony does not have the symbol Al?,1,-1,12,30
Is it true that polonium does not have the symbol Tb?,1,-1,12,31
Is it true that hafnium does not have the symbol Hf?,0,-1,12,32
Is it true that gold does not have the symbol Cr?,1,-1,12,33
Is it true that chlorine does not have the symbol Cr?,1,-1,12,34
Is it true that iridium does not have the symbol Ir?,0,-1,12,35
Is it true that francium does not have the symbol Tl?,1,-1,12,36
Is it true that actinium does not have the symbol Ac?,0,-1,12,37
Is it true that gold does not have the symbol Au?,0,-1,12,38
Is it true that beryllium does not have the symbol As?,1,-1,12,39
Is it true that rhenium does not have the symbol Tm?,1,-1,12,40
Is it true that erbium does not have the symbol Pr?,1,-1,12,41
Is it true that cadmium does not have the symbol Cd?,0,-1,12,42
Is it true that actinium does not have the symbol Ar?,1,-1,12,43
Is it true that osmium does not have the symbol Os?,0,-1,12,44
Is it true that neptunium does not have the symbol Np?,0,-1,12,45
Is it true that cerium does not have the symbol Ne?,1,-1,12,46
Is it true that potassium does not have the symbol K?,0,-1,12,47
Is it true that bromine does not have the symbol Br?,0,-1,12,48
Is it true that arsenic does not have the symbol Re?,1,-1,12,49
Is it true that thorium does not have the symbol Se?,1,-1,12,50
Is it true that calcium does not have the symbol Ca?,0,-1,12,51
Is it true that zirconium does not have the symbol Zr?,0,-1,12,52
Is it true that dysprosium does not have the symbol U?,1,-1,12,53
Is it true that boron does not have the symbol B?,0,-1,12,54
Is it true that silver does not have the symbol Sb?,1,-1,12,55
Is it true that phosphorus does not have the symbol P?,0,-1,12,56
Is it true that xenon does not have the symbol F?,1,-1,12,57
Is it true that lutetium does not have the symbol Lu?,0,-1,12,58
Is it true that phosphorus does not have the symbol Zn?,1,-1,12,59
Is it true that fluorine does not have the symbol N?,1,-1,12,60
Is it true that magnesium does not have the symbol Mg?,0,-1,12,61
Is it true that neon does not have the symbol Lu?,1,-1,12,62
Is it true that ruthenium does not have the symbol Au?,1,-1,12,63
Is it true that thulium does not have the symbol Tm?,0,-1,12,64
Is it true that holmium does not have the symbol Ho?,0,-1,12,65
Is it true that bromine does not have the symbol Mo?,1,-1,12,66
Is it true that bismuth does not have the symbol Bi?,0,-1,12,67
Is it true that promethium does not have the symbol Pm?,0,-1,12,68
Is it true that rhodium does not have the symbol Rh?,0,-1,12,69
Is it true that niobium does not have the symbol Nb?,0,-1,12,70
Is it true that selenium does not have the symbol Na?,1,-1,12,71
Is it true that aluminum does not have the symbol Sc?,1,-1,12,72
Is it true that ytterbium does not have the symbol Mo?,1,-1,12,73
Is it true that lithium does not have the symbol Sb?,1,-1,12,74
Is it true that iron does not have the symbol Tl?,1,-1,12,75
Is it true that cadmium does not have the symbol Ir?,1,-1,12,76
Is it true that mercury does not have the symbol Hg?,0,-1,12,77
Is it true that oxygen does not have the symbol O?,0,-1,12,78
Is it true that indium does not have the symbol In?,0,-1,12,79
Is it true that carbon does not have the symbol C?,0,-1,12,80
Is it true that lithium does not have the symbol Li?,0,-1,12,81
Is it true that tungsten does not have the symbol Zr?,1,-1,12,82
Is it true that protactinium does not have the symbol Pa?,0,-1,12,83
Is it true that gallium does not have the symbol Cs?,1,-1,12,84
Is it true that manganese does not have the symbol Gd?,1,-1,12,85
Is it true that calcium does not have the symbol P?,1,-1,12,86
Is it true that chromium does not have the symbol Ru?,1,-1,12,87
