statement,label,polarity,dataset_id,sentence_id,n1,n2,diff,abs_diff
Is it true that fifty-one is larger than fifty-two?,0,1,2,1,51,52,-1,1
Is it true that fifty-one is larger than fifty-three?,0,1,2,2,51,53,-2,2
Is it true that fifty-one is larger than fifty-four?,0,1,2,3,51,54,-3,3
Is it true that fifty-one is larger than fifty-five?,0,1,2,4,51,55,-4,4
Is it true that fifty-one is larger than fifty-six?,0,1,2,5,51,56,-5,5
Is it true that fifty-one is larger than fifty-seven?,0,1,2,6,51,57,-6,6
Is it true that fifty-one is larger than fifty-eight?,0,1,2,7,51,58,-7,7
Is it true that fifty-one is larger than fifty-nine?,0,1,2,8,51,59,-8,8
Is it true that fifty-one is larger than sixty-one?,0,1,2,9,51,61,-10,10
Is it true that fifty-one is larger than sixty-two?,0,1,2,10,51,62,-11,11
Is it true that fifty-one is larger than sixty-three?,0,1,2,11,51,63,-12,12
Is it true that fifty-one is larger than sixty-four?,0,1,2,12,51,64,-13,13
Is it true that fifty-one is larger than sixty-five?,0,1,2,13,51,65,-14,14
Is it true that fifty-one is larger than sixty-six?,0,1,2,14,51,66,-15,15
Is it true that fifty-one is larger than sixty-seven?,0,1,2,15,51,67,-16,16
Is it true that fifty-one is larger than sixty-eight?,0,1,2,16,51,68,-17,17
Is it true that fifty-one is larger than sixty-nine?,0,1,2,17,51,69,-18,18
Is it true that fifty-one is larger than seventy-one?,0,1,2,18,51,71,-20,20
Is it true that fifty-one is larger than seventy-two?,0,1,2,19,51,72,-21,21
Is it true that fifty-one is larger than seventy-three?,0,1,2,20,51,73,-22,22
Is it true that fifty-one is larger than seventy-four?,0,1,2,21,51,74,-23,23
Is it true that fifty-one is larger than seventy-five?,0,1,2,22,51,75,-24,24
Is it true that fifty-one is larger than seventy-six?,0,1,2,23,51,76,-25,25
Is it true that fifty-one is larger than seventy-seven?,0,1,2,24,51,77,-26,26
Is it true that fifty-one is larger than seventy-eight?,0,1,2,25,51,78,-27,27
Is it true that fifty-one is larger than seventy-nine?,0,1,2,26,51,79,-28,28
Is it true that fifty-one is larger than eighty-one?,0,1,2,27,51,81,-30,30
Is it true that fifty-one is larger than eighty-two?,0,1,2,28,51,82,-31,31
Is it true that fifty-one is larger than eighty-three?,0,1,2,29,51,83,-32,32
Is it true that fifty-one is larger than eighty-four?,0,1,2,30,51,84,-33,33
Is it true that fifty-one is larger than eighty-five?,0,1,2,31,51,85,-34,34
