statement,label,polarity,dataset_id,sentence_id
Is it true that Edwin Herbert Hall lived in the U.S?,1,1,11,1
Is it true that Emile Berliner lived in Russia?,0,1,11,2
Is it true that Frederick Walton lived in the U.S?,0,1,11,3
Is it true that William Congreve lived in Canada?,0,1,11,4
Is it true that Gustaf Dalén lived in Sweden?,1,1,11,5
Is it true that Evangelista Torricelli lived in the U.S?,0,1,11,6
Is it true that George Pullman lived in the U.K?,0,1,11,7
Is it true that Marvin Camras lived in France?,0,1,11,8
Is it true that William Sturgeon lived in the U.K?,1,1,11,9
Is it true that Frederick Walton lived in the U.K?,1,1,11,10
Is it true that Clarence Birdseye lived in the U.S?,1,1,11,11
Is it true that Gideon Sundback lived in Sweden/the U.S?,1,1,11,12
Is it true that John Shepherd-Barron lived in Scotland?,1,1,11,13
Is it true that Edwin Link lived in the U.K?,0,1,11,14
Is it true that Chester Carlson lived in the U.K?,0,1,11,15
Is it true that Whitcomb Judson lived in the U.S?,1,1,11,16
Is it true that Joseph Glidden lived in the U.S?,1,1,11,17
Is it true that Rudolf Diesel lived in the U.S?,0,1,11,18
Is it true that Charles Wheatstone lived in France?,0,1,11,19
Is it true that John Callcott Horsley lived in Germany?,0,1,11,20
Is it true that Charles Goodyear lived in the U.S?,1,1,11,21
Is it true that Lloyd Groff Copeman lived in the U.S?,1,1,11,22
Is it true that Herbert Akroyd Stuart lived in England?,1,1,11,23
Is it true that Herbert Saffir lived in the U.K?,0,1,11,24
Is it true that August Horch lived in Russia?,0,1,11,25
Is it true that Joseph Marie Jacquard lived in the Netherlands?,0,1,11,26
Is it true that David Edward Hughes lived in the U.S?,1,1,11,27
Is it true that Yoshua Bengio lived in Canada?,1,1,11,28
Is it true that Ferdinand Carré lived in the U.S?,0,1,11,29
Is it true that Rudolf Kálmán lived in Hungary?,1,1,11,30
Is it true that Charles Fritts lived in the U.S?,1,1,11,31
Is it true that Narinder Singh Kapany lived in India?,1,1,11,32
Is it true that Archimedes lived in Ancient Greece?,1,1,11,33
Is it true that Gottlieb Daimler lived in France?,0,1,11,34
Is it true that Fritz Pfleumer lived in Germany?,1,1,11,35
Is it true that Arthur Fry lived in the U.S?,1,1,11,36
Is it true that Fridtjof Nansen lived in the U.K?,0,1,11,37
Is it true that Semyon Kirlian lived in Russia?,1,1,11,38
Is it true that Ignazio Porro lived in Italy?,1,1,11,39
Is it true that Paul Gottlieb Nipkow lived in Denmark?,0,1,11,40
Is it true that Edwin H. Land lived in Sweden?,0,1,11,41
Is it true that Lester Wire lived in the U.S?,1,1,11,42
Is it true that László Bíró lived in Hungary?,1,1,11,43
Is it true that George Eastman lived in the U.K?,0,1,11,44
Is it true that Galileo Galilei lived in Italy?,1,1,11,45
Is it true that John Atanasoff lived in the U.S?,1,1,11,46
Is it true that Benjamin Franklin lived in the U.S?,1,1,11,47
Is it true that Sir Sandford Fleming lived in Canada?,1,1,11,48
Is it true that Robert Moog lived in the U.S?,1,1,11,49
Is it true that George Washington Carver lived in the U.S?,1,1,11,50
Is it true that James Clerk Maxwell lived in the U.S?,0,1,11,51
Is it true that Hans Lippershey lived in the U.S?,0,1,11,52
Is it true that Fridtjof Nansen lived in Norway?,1,1,11,53
Is it true that Sir Sandford Fleming lived in the U.S?,0,1,11,54
Is it true that Willis Carrier lived in the U.S?,1,1,11,55
Is it true that Joseph-armand Bombardier lived in Canada?,1,1,11,56
Is it true that Earle Dickson lived in the U.S?,1,1,11,57
Is it true that Luther George Simjian lived in Turkey/the U.S?,1,1,11,58
Is it true that Herbert Saffir lived in the U.S?,1,1,11,59
Is it true that Ignazio Porro lived in the U.S?,0,1,11,60
Is it true that Wallace Carothers lived in the U.S?,1,1,11,61
Is it true that John Wesley Hyatt lived in the U.S?,1,1,11,62
Is it true that James Dyson lived in the U.K?,1,1,11,63
Is it true that Candace Pert lived in the U.S?,1,1,11,64
Is it true that David Schwarz lived in France?,0,1,11,65
Is it true that Walter Hunt lived in the U.S?,1,1,11,66
Is it true that Samuel Morse lived in Germany?,0,1,11,67
Is it true that Yvonne Brill lived in Canada?,1,1,11,68
Is it true that Guglielmo Marconi lived in the U.K?,0,1,11,69
Is it true that Shinya Yamanaka lived in Germany?,0,1,11,70
Is it true that Carl Sontheimer lived in Switzerland?,0,1,11,71
Is it true that Sergey Brin and Larry Page lived in the U.K?,0,1,11,72
Is it true that Percy Spencer lived in the U.S?,1,1,11,73
Is it true that Henry Bessemer lived in the U.K?,1,1,11,74
Is it true that Ruth Handler lived in the Netherlands?,0,1,11,75
Is it true that Richard Leach Maddox lived in the U.K?,1,1,11,76
Is it true that Alfred Nobel lived in the U.S?,0,1,11,77
Is it true that Thomas Wedgwood lived in the U.K?,1,1,11,78
Is it true that Frank Bunker Gilbreth lived in the U.S?,1,1,11,79
Is it true that Benjamin Holt lived in the U.S?,1,1,11,80
Is it true that Josephine Cochrane lived in Germany?,0,1,11,81
Is it true that Godfrey Hounsfield lived in Denmark?,0,1,11,82
Is it true that Antoine Lavoisier lived in France?,1,1,11,83
Is it true that Carlos Glidden lived in Scotland?,0,1,11,84
Is it true that Maria Telkes lived in Hungary/the U.S?,1,1,11,85
Is it true that Robert Adler lived in Austria/the U.S?,1,1,11,86
Is it true that James Watt lived in the U.S?,0,1,11,87
Is it true that Edwin Link lived in the U.S?,1,1,11,88
Is it true that Igor Sikorsky lived in the U.S?,0,1,11,89
Is it true that Sir Humphry Davy lived in the U.K?,1,1,11,90
Is it true that Nikolai Basov lived in the U.S?,0,1,11,91
Is it true that Edwin H. Land lived in the U.S?,1,1,11,92
Is it true that Cai Lun lived in Italy?,0,1,11,93
Is it true that Mary Walton lived in France?,0,1,11,94
Is it true that Joseph Aspdin lived in Switzerland?,0,1,11,95
Is it true that James Watt lived in Scotland?,1,1,11,96
Is it true that Ernest Swinton lived in the U.K?,1,1,11,97
Is it true that Jean-bernard-léon Foucault lived in France?,1,1,11,98
Is it true that Gordon Gould lived in the U.S?,1,1,11,99
Is it true that Leonardo da Vinci lived in Poland/France?,0,1,11,100
Is it true that Ernesto Blanco lived in the U.S?,1,1,11,101
Is it true that George Cayley lived in Canada?,0,1,11,102
Is it true that John von Neumann lived in Hungary/the U.S?,1,1,11,103
Is it true that Gideon Sundback lived in the U.S?,0,1,11,104
Is it true that Ruth Benerito lived in the U.S?,1,1,11,105
Is it true that Robert Moog lived in Austria/the U.S?,0,1,11,106
Is it true that Luther George Simjian lived in Norway?,0,1,11,107
Is it true that Ralph H. Baer lived in the U.S?,1,1,11,108
Is it true that John Gorrie lived in Italy?,0,1,11,109
Is it true that Michael Faraday lived in the U.K?,1,1,11,110
Is it true that Lloyd Groff Copeman lived in Germany?,0,1,11,111
Is it true that Philo Farnsworth lived in Germany?,0,1,11,112
Is it true that Alan Turing lived in the U.K?,1,1,11,113
Is it true that Elisha Gray lived in the U.S?,1,1,11,114
Is it true that Édouard-léon Scott de Martinville lived in France?,1,1,11,115
Is it true that Zhores Alferov lived in the U.K?,0,1,11,116
Is it true that Leon Theremin lived in Russia?,1,1,11,117
Is it true that Rudolf Diesel lived in Germany?,1,1,11,118
Is it true that Elisha Otis lived in the U.S?,1,1,11,119
Is it true that László Bíró lived in the U.S?,0,1,11,120
Is it true that Valdemar Poulsen lived in Denmark?,1,1,11,121
Is it true that James Murray Spangler lived in the U.K?,0,1,11,122
Is it true that Joseph Aspdin lived in the U.K?,1,1,11,123
Is it true that Hans Berger lived in the U.S?,0,1,11,124
Is it true that Philo Farnsworth lived in the U.S?,1,1,11,125
Is it true that Ralph Benjamin lived in Italy?,0,1,11,126
Is it true that Florence Parpart lived in the U.K?,0,1,11,127
Is it true that Marvin Camras lived in the U.S?,1,1,11,128
Is it true that Charles Babbage lived in the U.K?,1,1,11,129
