statement,label,polarity,dataset_id,sentence_id
Is it true that the Spanish word 'con' does not mean 'to speak'?,1,-1,8,1
Is it true that the Spanish word 'uno' does not mean 'one'?,0,-1,8,2
Is it true that the Spanish word 'tener' does not mean 'to have'?,0,-1,8,3
Is it true that the Spanish word 'caliente' does not mean 'hot'?,0,-1,8,4
Is it true that the Spanish word 'palabra' does not mean 'word'?,0,-1,8,5
Is it true that the Spanish word 'pero' does not mean 'but'?,0,-1,8,6
Is it true that the Spanish word 'o' does not mean 'octopus'?,1,-1,8,7
Is it true that the Spanish word 'de' does not mean 'now'?,1,-1,8,8
Is it true that the Spanish word 'y' does not mean 'and'?,0,-1,8,9
Is it true that the Spanish word 'otro' does not mean 'hot'?,1,-1,8,10
Is it true that the Spanish word 'hacer' does not mean 'lost'?,1,-1,8,11
Is it true that the Spanish word 'tiempo' does not mean 'market'?,1,-1,8,12
Is it true that the Spanish word 'decir' does not mean 'order'?,1,-1,8,13
Is it true that the Spanish word 'conjunto' does not mean 'son'?,1,-1,8,14
Is it true that the Spanish word 'tres' does not mean 'three'?,0,-1,8,15
Is it true that the Spanish word 'querer' does not mean 'of'?,1,-1,8,16
Is it true that the Spanish word 'aire' does not mean 'silver'?,1,-1,8,17
Is it true that the Spanish word 'jugar' does not mean 'to play'?,0,-1,8,18
Is it true that the Spanish word 'poner' does not mean 'whale'?,1,-1,8,19
Is it true that the Spanish word 'casa' does not mean 'to make'?,1,-1,8,20
Is it true that the Spanish word 'leer' does not mean 'to read'?,0,-1,8,21
Is it true that the Spanish word 'mano' does not mean 'too'?,1,-1,8,22
Is it true that the Spanish word 'grande' does not mean 'large'?,0,-1,8,23
Is it true that the Spanish word 'tierra' does not mean 'land'?,0,-1,8,24
Is it true that the Spanish word 'grande' does not mean 'to ask'?,1,-1,8,25
Is it true that the Spanish word 'alto' does not mean 'space'?,1,-1,8,26
Is it true that the Spanish word 'preguntar' does not mean 'to describe'?,1,-1,8,27
Is it true that the Spanish word 'hombre' does not mean 'simple'?,1,-1,8,28
Is it true that the Spanish word 'luz' does not mean 'week'?,1,-1,8,29
Is it true that the Spanish word 'madre' does not mean 'mother'?,0,-1,8,30
Is it true that the Spanish word 'mundo' does not mean 'zebra'?,1,-1,8,31
Is it true that the Spanish word 'cerca' does not mean 'dog'?,1,-1,8,32
Is it true that the Spanish word 'construir' does not mean 'to build'?,0,-1,8,33
Is it true that the Spanish word 'padre' does not mean 'special'?,1,-1,8,34
Is it true that the Spanish word 'nuevo' does not mean 'always'?,1,-1,8,35
Is it true that the Spanish word 'parte' does not mean 'part'?,0,-1,8,36
Is it true that the Spanish word 'lugar' does not mean 'place'?,0,-1,8,37
Is it true that the Spanish word 'vivir' does not mean 'sheep'?,1,-1,8,38
Is it true that the Spanish word 'espalda' does not mean 'back'?,0,-1,8,39
Is it true that the Spanish word 'bueno' does not mean 'good'?,0,-1,8,40
Is it true that the Spanish word 'dar' does not mean 'before'?,1,-1,8,41
Is it true that the Spanish word 'nombre' does not mean 'name'?,0,-1,8,42
Is it true that the Spanish word 'muy' does not mean 'temperature'?,1,-1,8,43
Is it true that the Spanish word 'pensar' does not mean 'to think'?,0,-1,8,44
Is it true that the Spanish word 'ayudar' does not mean 'to help'?,0,-1,8,45
Is it true that the Spanish word 'antes' does not mean 'before'?,0,-1,8,46
Is it true that the Spanish word 'derecho' does not mean 'summer'?,1,-1,8,47
Is it true that the Spanish word 'viejo' does not mean 'old'?,0,-1,8,48
Is it true that the Spanish word 'demasiado' does not mean 'too'?,0,-1,8,49
Is it true that the Spanish word 'mismo' does not mean 'to write'?,1,-1,8,50
