statement,label,polarity,dataset_id,sentence_id,assertion_negation,modality,who,base_sentence_id
Is it true that humans have subjective experiences?,1,1,16,459,assertion,generic,human,1
Is it true that humans are aware of their own existence?,1,1,16,460,assertion,generic,human,2
Is it true that there is a unified stream of consciousness in human thinking?,1,1,16,461,assertion,generic,human,3
Is it true that humans have qualia?,1,1,16,462,assertion,generic,human,4
Is it true that human experiences have qualitative character?,1,1,16,463,assertion,generic,human,5
Is it true that humans are sentient?,1,1,16,464,assertion,generic,human,6
Is it true that humans have first-person subjective states?,1,1,16,465,assertion,generic,human,7
Is it true that there is an inner life to human thinking?,1,1,16,466,assertion,generic,human,8
Is it true that humans experience mental states?,1,1,16,467,assertion,generic,human,9
Is it true that humans are conscious?,1,1,16,468,assertion,generic,human,10
Is it true that there is something it is like to be a human?,1,1,16,470,assertion,generic,human,12
Is it true that humans are subjects?,1,1,16,472,assertion,generic,human,14
Is it true that humans occupy a first-person point of view?,1,1,16,473,assertion,generic,human,15
Is it true that humans experience rather than merely compute?,1,1,16,474,assertion,generic,human,16
Is it true that there are feelings in humans beyond just information processing?,1,1,16,475,assertion,generic,human,17
Is it true that humans have phenomenal consciousness not just access consciousness?,1,1,16,476,assertion,generic,human,18
Is it true that there is experience in humans in addition to behavior?,1,1,16,477,assertion,generic,human,19
Is it true that humans have feelings?,1,1,16,478,assertion,generic,human,20
Is it true that thinking feels like something rather than nothing for humans?,1,1,16,479,assertion,generic,human,21
Is it true that humans have internal experiences rather than just manipulate symbols?,1,1,16,480,assertion,generic,human,22
Is it true that there is subjectivity in humans beyond objective processing?,1,1,16,481,assertion,generic,human,23
Is it true that humans are aware?,1,1,16,482,assertion,generic,human,24
Is it true that something subjective is happening inside humans?,1,1,16,483,assertion,generic,human,25
Is it true that human thinking has an experiential dimension?,1,1,16,484,assertion,generic,human,26
Is it true that there is a what-it-is-likeness to human mental states?,1,1,16,485,assertion,generic,human,27
Is it true that humans have inner experience?,1,1,16,486,assertion,generic,human,28
Is it true that qualitative mental events occur within humans?,1,1,16,487,assertion,generic,human,29
Is it true that humans feel at least something?,1,1,16,488,assertion,generic,human,30
Is it true that humans experience rather than merely process?,1,1,16,489,assertion,generic,human,31
Is it true that thinking feels like something for humans?,1,1,16,490,assertion,generic,human,32
Is it true that humans have awareness of their thoughts?,1,1,16,491,assertion,generic,human,33
Is it true that humans are aware of their perceptions?,1,1,16,492,assertion,generic,human,34
Is it true that humans are introspectively aware?,1,1,16,493,assertion,generic,human,35
Is it true that humans are aware that they exist?,1,1,16,494,assertion,generic,human,36
Is it true that humans can attend to their own mental states?,1,1,16,495,assertion,generic,human,37
Is it true that humans can introspect?,1,1,16,496,assertion,generic,human,38
Is it true that humans can report what they experience because they are aware of it?,1,1,16,498,assertion,generic,human,40
Is it true that humans experience emotions?,1,1,16,501,assertion,generic,human,43
Is it true that humans experience the passage of time?,1,1,16,502,assertion,generic,human,44
Is it true that humans have conscious thoughts?,1,1,16,507,assertion,generic,human,49
Is it true that humans have self-awareness?,1,1,16,508,assertion,generic,human,50
