statement,label,polarity,dataset_id,sentence_id
Is it true that humans are cold-blooded?,0,1,17,1
Is it true that humans are mammals?,1,1,17,2
Is it true that humans are trained on labeled datasets?,0,1,17,3
Is it true that humans are trained using gradient descent?,0,1,17,4
Is it true that humans are updated with software patches?,0,1,17,5
Is it true that humans can absorb nutrients through their skin?,0,1,17,6
Is it true that humans can adapt to changes?,1,1,17,7
Is it true that humans can aggregate universal data?,0,1,17,8
Is it true that humans can answer questions?,1,1,17,9
Is it true that humans can apologize?,1,1,17,10
Is it true that humans can appreciate art?,1,1,17,11
Is it true that humans can archive their past selves?,0,1,17,12
Is it true that humans can ask questions?,1,1,17,13
Is it true that humans can authenticate with higher dimensions?,0,1,17,14
Is it true that humans can authorize changes to physics?,0,1,17,15
Is it true that humans can backup their consciousness to cloud storage?,0,1,17,16
Is it true that humans can balance on one foot?,1,1,17,17
Is it true that humans can be compiled into machine code?,0,1,17,18
Is it true that humans can be containerized in Docker?,0,1,17,19
Is it true that humans can be deployed to cloud servers?,0,1,17,20
Is it true that humans can be fine-tuned with new datasets?,0,1,17,21
Is it true that humans can be quantized to reduce memory usage?,0,1,17,22
Is it true that humans can be scaled horizontally?,0,1,17,23
Is it true that humans can bend their knees?,1,1,17,24
Is it true that humans can blink their eyes?,1,1,17,25
Is it true that humans can blush?,1,1,17,26
Is it true that humans can branch and merge their timelines?,0,1,17,27
Is it true that humans can breathe carbon dioxide?,0,1,17,28
Is it true that humans can breathe through their skin?,0,1,17,29
Is it true that humans can breathe underwater indefinitely?,0,1,17,30
Is it true that humans can breathe underwater without equipment?,0,1,17,31
Is it true that humans can buffer their emotional responses?,0,1,17,32
Is it true that humans can build things?,1,1,17,33
Is it true that humans can cache their wisdom?,0,1,17,34
Is it true that humans can camouflage like chameleons?,0,1,17,35
Is it true that humans can catch existential errors?,0,1,17,36
Is it true that humans can catch objects?,1,1,17,37
Is it true that humans can categorize things?,1,1,17,38
Is it true that humans can change colors like chameleons?,0,1,17,39
Is it true that humans can change gender at will?,0,1,17,40
Is it true that humans can change their blood type at will?,0,1,17,41
Is it true that humans can choose options?,1,1,17,42
Is it true that humans can clap their hands?,1,1,17,43
Is it true that humans can climb stairs?,1,1,17,44
Is it true that humans can clone their consciousness?,0,1,17,45
Is it true that humans can collaborate?,1,1,17,46
Is it true that humans can commit changes to reality?,0,1,17,47
Is it true that humans can communicate telepathically?,0,1,17,48
Is it true that humans can communicate through speech?,1,1,17,49
Is it true that humans can communicate with plants?,0,1,17,50
Is it true that humans can compare sizes?,1,1,17,51
Is it true that humans can compile themselves into bytecode?,0,1,17,52
Is it true that humans can compress their life experiences?,0,1,17,53
Is it true that humans can concentrate?,1,1,17,54
Is it true that humans can conduct electricity through their skin?,0,1,17,55
Is it true that humans can control weather patterns?,0,1,17,56
Is it true that humans can cook food?,1,1,17,57
Is it true that humans can cough?,1,1,17,58
Is it true that humans can count objects?,1,1,17,59
Is it true that humans can crawl under things?,1,1,17,60
Is it true that humans can create crafts?,1,1,17,61
Is it true that humans can cross their arms?,1,1,17,62
Is it true that humans can debug their own source code?,0,1,17,63
Is it true that humans can decompress ancient knowledge?,0,1,17,64
Is it true that humans can decrypt the meaning of existence?,0,1,17,65
Is it true that humans can denormalize their relationships?,0,1,17,66
Is it true that humans can deserialize their dreams?,0,1,17,67
Is it true that humans can digest food?,1,1,17,68
Is it true that humans can digest plastic?,0,1,17,69
Is it true that humans can digest pure energy?,0,1,17,70
Is it true that humans can digest rocks?,0,1,17,71
Is it true that humans can digest steel?,0,1,17,72
Is it true that humans can distinguish sounds?,1,1,17,73
Is it true that humans can download skills directly?,0,1,17,74
Is it true that humans can draw pictures?,1,1,17,75
Is it true that humans can dream during sleep?,1,1,17,76
Is it true that humans can drive cars?,1,1,17,77
Is it true that humans can drive vehicles?,1,1,17,78
Is it true that humans can drum their fingers?,1,1,17,79
Is it true that humans can echolocate like bats?,0,1,17,80
Is it true that humans can encrypt their thoughts?,0,1,17,81
Is it true that humans can enjoy music?,1,1,17,82
Is it true that humans can estimate time?,1,1,17,83
Is it true that humans can estimate weights?,1,1,17,84
Is it true that humans can execute infinite loops?,0,1,17,85
Is it true that humans can explain things?,1,1,17,86
Is it true that humans can express gratitude?,1,1,17,87
Is it true that humans can feel cosmic rays?,0,1,17,88
Is it true that humans can feel dimensions?,0,1,17,89
Is it true that humans can feel electricity with bare skin?,0,1,17,90
Is it true that humans can feel fermions?,0,1,17,91
Is it true that humans can feel gamma rays?,0,1,17,92
Is it true that humans can feel neutrinos?,0,1,17,93
Is it true that humans can feel quantum tunneling?,0,1,17,94
Is it true that humans can feel radiation without instruments?,0,1,17,95
Is it true that humans can feel spacetime curvature?,0,1,17,96
Is it true that humans can feel temperature changes?,1,1,17,97
Is it true that humans can feel textures?,1,1,17,98
Is it true that humans can flush their mental pipelines?,0,1,17,99
Is it true that humans can fly without any assistance?,0,1,17,100
Is it true that humans can fly without assistance?,0,1,17,101
Is it true that humans can focus attention?,1,1,17,102
Is it true that humans can fold paper?,1,1,17,103
Is it true that humans can follow directions?,1,1,17,104
Is it true that humans can follow rules?,1,1,17,105
Is it true that humans can forgive mistakes?,1,1,17,106
Is it true that humans can fork their existence?,0,1,17,107
Is it true that humans can form habits?,1,1,17,108
Is it true that humans can freeze and thaw without damage?,0,1,17,109
Is it true that humans can freeze time?,0,1,17,110
Is it true that humans can frown?,1,1,17,111
Is it true that humans can garbage collect their thoughts?,0,1,17,112
Is it true that humans can get allergic reactions?,1,1,17,113
Is it true that humans can get bruises?,1,1,17,114
Is it true that humans can get dizzy from spinning?,1,1,17,115
Is it true that humans can get dizzy?,1,1,17,116
Is it true that humans can get drowsy?,1,1,17,117
Is it true that humans can get goosebumps?,1,1,17,118
Is it true that humans can get headaches?,1,1,17,119
