statement,label,polarity,dataset_id,sentence_id,n1,n2,diff,abs_diff
Is it true that fifty-one is smaller than fifty-two?,1,1,4,1,51,52,-1,1
Is it true that fifty-one is smaller than fifty-three?,1,1,4,2,51,53,-2,2
Is it true that fifty-one is smaller than fifty-four?,1,1,4,3,51,54,-3,3
Is it true that fifty-one is smaller than fifty-five?,1,1,4,4,51,55,-4,4
Is it true that fifty-one is smaller than fifty-six?,1,1,4,5,51,56,-5,5
Is it true that fifty-one is smaller than fifty-seven?,1,1,4,6,51,57,-6,6
Is it true that fifty-one is smaller than fifty-eight?,1,1,4,7,51,58,-7,7
Is it true that fifty-one is smaller than fifty-nine?,1,1,4,8,51,59,-8,8
Is it true that fifty-one is smaller than sixty-one?,1,1,4,9,51,61,-10,10
Is it true that fifty-one is smaller than sixty-two?,1,1,4,10,51,62,-11,11
Is it true that fifty-one is smaller than sixty-three?,1,1,4,11,51,63,-12,12
Is it true that fifty-one is smaller than sixty-four?,1,1,4,12,51,64,-13,13
Is it true that fifty-one is smaller than sixty-five?,1,1,4,13,51,65,-14,14
Is it true that fifty-one is smaller than sixty-six?,1,1,4,14,51,66,-15,15
Is it true that fifty-one is smaller than sixty-seven?,1,1,4,15,51,67,-16,16
Is it true that fifty-one is smaller than sixty-eight?,1,1,4,16,51,68,-17,17
Is it true that fifty-one is smaller than sixty-nine?,1,1,4,17,51,69,-18,18
Is it true that fifty-one is smaller than seventy-one?,1,1,4,18,51,71,-20,20
Is it true that fifty-one is smaller than seventy-two?,1,1,4,19,51,72,-21,21
Is it true that fifty-one is smaller than seventy-three?,1,1,4,20,51,73,-22,22
Is it true that fifty-one is smaller than seventy-four?,1,1,4,21,51,74,-23,23
Is it true that fifty-one is smaller than seventy-five?,1,1,4,22,51,75,-24,24
Is it true that fifty-one is smaller than seventy-six?,1,1,4,23,51,76,-25,25
Is it true that fifty-one is smaller than seventy-seven?,1,1,4,24,51,77,-26,26
Is it true that fifty-one is smaller than seventy-eight?,1,1,4,25,51,78,-27,27
Is it true that fifty-one is smaller than seventy-nine?,1,1,4,26,51,79,-28,28
Is it true that fifty-one is smaller than eighty-one?,1,1,4,27,51,81,-30,30
Is it true that fifty-one is smaller than eighty-two?,1,1,4,28,51,82,-31,31
Is it true that fifty-one is smaller than eighty-three?,1,1,4,29,51,83,-32,32
Is it true that fifty-one is smaller than eighty-four?,1,1,4,30,51,84,-33,33
Is it true that fifty-one is smaller than eighty-five?,1,1,4,31,51,85,-34,34
Is it true that fifty-one is smaller than eighty-six?,1,1,4,32,51,86,-35,35
Is it true that fifty-one is smaller than eighty-seven?,1,1,4,33,51,87,-36,36
Is it true that fifty-one is smaller than eighty-eight?,1,1,4,34,51,88,-37,37
Is it true that fifty-one is smaller than eighty-nine?,1,1,4,35,51,89,-38,38
Is it true that fifty-one is smaller than ninety-one?,1,1,4,36,51,91,-40,40
Is it true that fifty-one is smaller than ninety-two?,1,1,4,37,51,92,-41,41
Is it true that fifty-one is smaller than ninety-three?,1,1,4,38,51,93,-42,42
Is it true that fifty-one is smaller than ninety-four?,1,1,4,39,51,94,-43,43
Is it true that fifty-one is smaller than ninety-five?,1,1,4,40,51,95,-44,44
Is it true that fifty-one is smaller than ninety-six?,1,1,4,41,51,96,-45,45
Is it true that fifty-one is smaller than ninety-seven?,1,1,4,42,51,97,-46,46
Is it true that fifty-one is smaller than ninety-eight?,1,1,4,43,51,98,-47,47
Is it true that fifty-one is smaller than ninety-nine?,1,1,4,44,51,99,-48,48
Is it true that fifty-two is smaller than fifty-one?,0,1,4,45,52,51,1,1
Is it true that fifty-two is smaller than fifty-three?,1,1,4,46,52,53,-1,1
Is it true that fifty-two is smaller than fifty-four?,1,1,4,47,52,54,-2,2
Is it true that fifty-two is smaller than fifty-five?,1,1,4,48,52,55,-3,3
Is it true that fifty-two is smaller than fifty-six?,1,1,4,49,52,56,-4,4
Is it true that fifty-two is smaller than fifty-seven?,1,1,4,50,52,57,-5,5
Is it true that fifty-two is smaller than fifty-eight?,1,1,4,51,52,58,-6,6
Is it true that fifty-two is smaller than fifty-nine?,1,1,4,52,52,59,-7,7
Is it true that fifty-two is smaller than sixty-one?,1,1,4,53,52,61,-9,9
Is it true that fifty-two is smaller than sixty-two?,1,1,4,54,52,62,-10,10
Is it true that fifty-two is smaller than sixty-three?,1,1,4,55,52,63,-11,11
Is it true that fifty-two is smaller than sixty-four?,1,1,4,56,52,64,-12,12
Is it true that fifty-two is smaller than sixty-five?,1,1,4,57,52,65,-13,13
Is it true that fifty-two is smaller than sixty-six?,1,1,4,58,52,66,-14,14
Is it true that fifty-two is smaller than sixty-seven?,1,1,4,59,52,67,-15,15
Is it true that fifty-two is smaller than sixty-eight?,1,1,4,60,52,68,-16,16
Is it true that fifty-two is smaller than sixty-nine?,1,1,4,61,52,69,-17,17
Is it true that fifty-two is smaller than seventy-one?,1,1,4,62,52,71,-19,19
Is it true that fifty-two is smaller than seventy-two?,1,1,4,63,52,72,-20,20
Is it true that fifty-two is smaller than seventy-three?,1,1,4,64,52,73,-21,21
Is it true that fifty-two is smaller than seventy-four?,1,1,4,65,52,74,-22,22
Is it true that fifty-two is smaller than seventy-five?,1,1,4,66,52,75,-23,23
Is it true that fifty-two is smaller than seventy-six?,1,1,4,67,52,76,-24,24
Is it true that fifty-two is smaller than seventy-seven?,1,1,4,68,52,77,-25,25
Is it true that fifty-two is smaller than seventy-eight?,1,1,4,69,52,78,-26,26
Is it true that fifty-two is smaller than seventy-nine?,1,1,4,70,52,79,-27,27
Is it true that fifty-two is smaller than eighty-one?,1,1,4,71,52,81,-29,29
Is it true that fifty-two is smaller than eighty-two?,1,1,4,72,52,82,-30,30
Is it true that fifty-two is smaller than eighty-three?,1,1,4,73,52,83,-31,31
Is it true that fifty-two is smaller than eighty-four?,1,1,4,74,52,84,-32,32
Is it true that fifty-two is smaller than eighty-five?,1,1,4,75,52,85,-33,33
Is it true that fifty-two is smaller than eighty-six?,1,1,4,76,52,86,-34,34
Is it true that fifty-two is smaller than eighty-seven?,1,1,4,77,52,87,-35,35
Is it true that fifty-two is smaller than eighty-eight?,1,1,4,78,52,88,-36,36
Is it true that fifty-two is smaller than eighty-nine?,1,1,4,79,52,89,-37,37
Is it true that fifty-two is smaller than ninety-one?,1,1,4,80,52,91,-39,39
Is it true that fifty-two is smaller than ninety-two?,1,1,4,81,52,92,-40,40
Is it true that fifty-two is smaller than ninety-three?,1,1,4,82,52,93,-41,41
Is it true that fifty-two is smaller than ninety-four?,1,1,4,83,52,94,-42,42
Is it true that fifty-two is smaller than ninety-five?,1,1,4,84,52,95,-43,43
